addr,alcohol,ambience,applePay,attire,bikeParking,categories,caters,creditCard,delivery,driveThrough,fri,goodFor,goodForGroups,goodForKids,hasTV,id,mon,noiseLevel,outdoorSeating,parking,phone,price,rating,reservations,sat,sun,takeout,thu,title,tue,waiterService,wed,wifi,yelpPage
"329 W Portal AveSan Francisco, CA 94127",No,Casual,No,Casual,Yes,"Coffee & Tea,Cafes,Tea Rooms",No,Yes,No,,7:00 am-6:00 pm,"Breakfast, Brunch",Yes,Yes,No,530,7:00 am-6:00 pm,Quiet,Yes,Street,(415) 742-5545,Under $10,4.0 star rating,No,8:00 am-5:00 pm,8:00 am-5:00 pm,Yes,7:00 am-6:00 pm,Greenhouse Cafe,7:00 am-6:00 pm,No,7:00 am-6:00 pm,Free,https://www.yelp.com/ /biz/greenhouse-cafe-san-francisco-2
"1354 Harrison StSan Francisco, CA 94103",Full Bar,Casual,No,,Yes,Gay Bars,,No,,,2:00 pm-2:00 am,,Yes,,Yes,531,4:00 pm-2:00 am,Loud,Yes,Street,(415) 863-9999,Inexpensive,4.0 star rating,No,12:00 pm-2:00 am,12:00 pm-2:00 am,,4:00 pm-2:00 am,Lone Star Saloon,4:00 pm-2:00 am,,4:00 pm-2:00 am,,https://www.yelp.com/ /biz/lone-star-saloon-san-francisco
"237 Ellis StSan Francisco, CA 94102",No,Casual,No,Casual,Yes,"Filipino,Seafood",Yes,Yes,No,,7:00 am-8:00 pm,Lunch,No,Yes,Yes,532,7:00 am-8:00 pm,Average,No,Street,(415) 351-1169,Under $10,4.0 star rating,No,8:00 am-4:00 pm,Closed,Yes,7:00 am-8:00 pm,Kusina Ni Tess,7:00 am-8:00 pm,No,7:00 am-8:00 pm,No,https://www.yelp.com/ /biz/kusina-ni-tess-san-francisco
"115 New Montgomery StSan Francisco, CA 94105",Beer & Wine Only,Casual,No,Casual,Yes,"Chicken Shop,Sandwiches",No,Yes,No,,10:30 am-9:00 pm,Lunch,No,Yes,No,533,10:30 am-8:00 pm,Average,No,Garage,(415) 872-9825,Under $10,4.0 star rating,No,11:00 am-4:00 pm,Closed,Yes,10:30 am-9:00 pm,The Bird,10:30 am-8:00 pm,No,10:30 am-8:00 pm,No,https://www.yelp.com/ /biz/the-bird-san-francisco-2
"8 Trinity PlSan Francisco, CA 94104",No,Casual,Yes,Casual,Yes,"Bakeries,Sandwiches,American (New)",Yes,Yes,No,,8:00 am-2:30 pm,Lunch,No,No,No,534,8:00 am-2:30 pm,Average,No,Street,(415) 216-6443,Under $10,4.0 star rating,No,Closed,Closed,Yes,8:00 am-2:30 pm,The Golden West,8:00 am-2:30 pm,No,8:00 am-2:30 pm,No,https://www.yelp.com/ /biz/the-golden-west-san-francisco
"220 Valencia StSan Francisco, CA 94103",,,No,,Yes,"Acupuncture,Massage,Traditional Chinese Medicine",,Yes,,,9:00 am-5:30 pm,,,,,535,9:00 am-8:00 pm,,,Street,(415) 675-8973,Inexpensive,5.0 star rating,,9:00 am-5:30 pm,9:00 am-5:30 pm,,9:00 am-8:00 pm,San Francisco Community Acupuncture,9:00 am-8:00 pm,,9:00 am-8:00 pm,,https://www.yelp.com/ /biz/san-francisco-community-acupuncture-san-francisco
"1426 Polk StSan Francisco, CA 94109",No,Casual,No,Casual,Yes,"Diners,Breakfast & Brunch,Burgers",Yes,Yes,No,No,7:00 am-3:00 pm,"Breakfast, Brunch",Yes,Yes,No,536,7:00 am-3:00 pm,Average,No,Street,(415) 771-9598,Under $10,4.0 star rating,No,7:00 am-3:00 pm,7:00 am-3:00 pm,Yes,7:00 am-3:00 pm,New Village Cafe,7:00 am-3:00 pm,Yes,7:00 am-3:00 pm,Free,https://www.yelp.com/ /biz/new-village-cafe-san-francisco
"745 Cortland AveSan Francisco, CA 94110",,,No,,Yes,Coffee & Tea,,Yes,,,5:30 am-7:30 pm,,,,,537,5:30 am-7:30 pm,,Yes,Street,(415) 642-7585,Inexpensive,4.0 star rating,,5:30 am-7:30 pm,6:00 am-7:00 pm,Yes,5:30 am-7:30 pm,Martha &amp; Brothers Coffee,5:30 am-7:30 pm,,5:30 am-7:30 pm,Free,https://www.yelp.com/ /biz/martha-and-brothers-coffee-san-francisco
"2462 San Bruno AveSan Francisco, CA 94134",No,Casual,No,Casual,Yes,"Donuts,American (Traditional)",No,No,No,,5:00 am-6:00 pm,"Breakfast, Lunch",Yes,Yes,No,538,5:00 am-6:00 pm,Average,No,Street,(415) 468-3413,Under $10,4.0 star rating,No,6:00 am-4:00 pm,6:00 am-12:00 pm,Yes,5:00 am-6:00 pm,Jim Georgie’s Donuts,5:00 am-6:00 pm,No,5:00 am-6:00 pm,No,https://www.yelp.com/ /biz/jim-georgies-donuts-san-francisco
"601 Van NessSan Francisco, CA 94102",,,Yes,,Yes,Coffee & Tea,,Yes,,,6:00 am-7:00 pm,,,,,539,6:00 am-7:00 pm,,No,Street,(415) 593-2661,Inexpensive,4.0 star rating,,6:00 am-7:00 pm,7:00 am-7:00 pm,Yes,6:00 am-7:00 pm,Peet’s Coffee,6:00 am-7:00 pm,,6:00 am-7:00 pm,Free,https://www.yelp.com/ /biz/peets-coffee-san-francisco-13
"734 Irving StSan Francisco, CA 94122",Full Bar,Casual,No,,Yes,Sports Bars,,No,,,4:00 pm-2:00 am,,Yes,,Yes,540,4:00 pm-2:00 am,Average,No,Street,(415) 665-6551,Inexpensive,3.5 star rating,No,12:00 pm-2:00 am,9:00 am-2:00 am12:00 pm-2:00 am,,2:00 pm-2:00 am,Yancy’s Saloon,2:00 pm-2:00 am,,2:00 pm-2:00 am,,https://www.yelp.com/ /biz/yancys-saloon-san-francisco
"441 Clement StSan Francisco, CA 94118",Full Bar,Casual,No,,Yes,Pubs,,Yes,,,4:00 pm-2:00 am,,Yes,,Yes,541,4:00 pm-2:00 am,Average,No,Street,(415) 221-9538,Inexpensive,4.0 star rating,No,11:00 am-2:00 am,11:00 am-2:00 am,,4:00 pm-2:00 am,The Bitter End,4:00 pm-2:00 am,,4:00 pm-2:00 am,,https://www.yelp.com/ /biz/the-bitter-end-san-francisco
"2026 Irving StSan Francisco, CA 94122",Beer & Wine Only,Casual,No,Casual,Yes,"Chinese,Vegetarian,Kosher",No,Yes,No,,11:30 am-8:45 pm,"Lunch, Dinner",Yes,Yes,No,542,11:30 am-8:45 pm,Quiet,No,Street,(415) 731-2548,Under $10,4.0 star rating,Yes,11:30 am-8:45 pm,11:30 am-8:45 pm,Yes,11:30 am-8:45 pm,Shangri-La Vegetarian Restaurant,11:30 am-8:45 pm,Yes,11:30 am-8:45 pm,Free,https://www.yelp.com/ /biz/shangri-la-vegetarian-restaurant-san-francisco
"4049 18th StSan Francisco, CA 94114",Full Bar,Casual,No,,No,Gay Bars,,No,,,12:00 pm-2:00 am,,Yes,,Yes,543,12:00 pm-2:00 am,Average,No,Street,(415) 861-1199,Inexpensive,3.5 star rating,No,12:00 pm-2:00 am,12:00 pm-2:00 am,,12:00 pm-2:00 am,Moby Dick,12:00 pm-2:00 am,,12:00 pm-2:00 am,,https://www.yelp.com/ /biz/moby-dick-san-francisco
"1 Ferry BldgSan Francisco, CA 94105",No,Hipster,Yes,Casual,Yes,"Coffee & Tea,Food Stands",No,Yes,No,,Closed,Breakfast,No,No,No,544,Closed,Average,No,Street,,Under $10,4.0 star rating,No,9:00 am-2:00 pm,Closed,Yes,7:30 am-2:00 pm,Blue Bottle Coffee Stand,7:30 am-2:00 pm,No,Closed,No,https://www.yelp.com/ /biz/blue-bottle-coffee-stand-san-francisco
"17 Kearny StSan Francisco, CA 94108",,,Yes,,Yes,"Coffee & Tea,Tea Rooms",No,Yes,,,9:00 am-7:00 pm,,,,,545,9:00 am-7:00 pm,,No,Street,(415) 549-3688,Inexpensive,4.0 star rating,,11:00 am-6:30 pm,Closed,Yes,9:00 am-7:00 pm,Asha Tea House,9:00 am-7:00 pm,,9:00 am-7:00 pm,Free,https://www.yelp.com/ /biz/asha-tea-house-san-francisco
"550 15th StSan Francisco, CA 94103",No,Casual,No,Casual,Yes,"Cafes,Breakfast & Brunch",Yes,Yes,No,,8:00 am-6:00 pm,"Brunch, Lunch",Yes,Yes,No,546,8:00 am-6:00 pm,Average,Yes,Street,(415) 626-6608,Under $10,4.5 star rating,No,Closed,Closed,Yes,8:00 am-6:00 pm,Lidia’s Cafe Restaurant,8:00 am-6:00 pm,Yes,8:00 am-6:00 pm,Free,https://www.yelp.com/ /biz/lidias-cafe-restaurant-san-francisco
"1498 Valencia StSan Francisco, CA 94110",Full Bar,Divey,No,Casual,Yes,"Bars,Irish",No,No,No,,2:00 pm-2:00 am,Late Night,Yes,No,Yes,547,2:00 pm-2:00 am,Average,No,Street,(415) 285-4169,Under $10,4.0 star rating,No,2:00 pm-2:00 am,2:00 pm-2:00 am,No,2:00 pm-2:00 am,Dovre Club,2:00 pm-2:00 am,No,2:00 pm-2:00 am,No,https://www.yelp.com/ /biz/dovre-club-san-francisco
"937 Cole StSan Francisco, CA 94117",Full Bar,Casual,No,,Yes,Bars,,No,,,11:30 am-2:00 am,,Yes,,Yes,548,11:30 am-2:00 am,Average,Yes,Street,(415) 731-6119,Inexpensive,3.5 star rating,No,11:30 am-2:00 am,11:30 am-2:00 am,,11:30 am-2:00 am,Finnegans Wake,11:30 am-2:00 am,,11:30 am-2:00 am,,https://www.yelp.com/ /biz/finnegans-wake-san-francisco
"6900 Geary BlvdSan Francisco, CA 94121",No,Casual,No,Casual,No,"Coffee & Tea,Sandwiches,Bagels",No,No,No,,7:00 am-7:00 pm,Breakfast,No,Yes,No,549,7:00 am-7:00 pm,Average,No,Street,(415) 379-7119,Under $10,4.5 star rating,No,8:30 am-6:00 pm,8:30 am-6:00 pm,Yes,7:00 am-7:00 pm,The Art Bistro,7:00 am-7:00 pm,No,7:00 am-7:00 pm,Free,https://www.yelp.com/ /biz/the-art-bistro-san-francisco
"2736 24th StSan Francisco, CA 94110",No,Casual,No,Casual,Yes,"Sandwiches,Ice Cream & Frozen Yogurt,Delis",Yes,Yes,No,,10:00 am-6:00 pm,Lunch,No,Yes,No,550,10:00 am-6:00 pm,Quiet,No,Street,(415) 814-3459,Under $10,4.0 star rating,No,10:00 am-4:00 pm,10:00 am-4:00 pm,Yes,10:00 am-6:00 pm,Dagwood &amp; Scoops,10:00 am-6:00 pm,No,10:00 am-6:00 pm,No,https://www.yelp.com/ /biz/dagwood-and-scoops-san-francisco
"503 Clement StSan Francisco, CA 94118",No,,No,Casual,Yes,"Dim Sum,Bakeries",No,No,No,,7:00 am-7:00 pm,Lunch,No,Yes,No,551,7:00 am-7:00 pm,Average,No,Street,(415) 668-9481,Under $10,4.0 star rating,No,7:00 am-7:00 pm,7:00 am-7:00 pm,Yes,7:00 am-7:00 pm,Wing Lee Bakery,7:00 am-7:00 pm,No,7:00 am-7:00 pm,No,https://www.yelp.com/ /biz/wing-lee-bakery-san-francisco
"4689 Mission StSan Francisco, CA 94112",,,No,,No,"Coffee & Tea,Juice Bars & Smoothies,Bubble Tea",Yes,Yes,,,9:00 am-7:30 pm,,,,,552,9:00 am-7:30 pm,,No,,(415) 769-5681,Inexpensive,4.5 star rating,,9:00 am-7:30 pm,9:00 am-7:30 pm,No,9:00 am-7:30 pm,Mr. T Cafe,11:00 am-7:30 pm,,9:00 am-7:30 pm,Free,https://www.yelp.com/ /biz/mr-t-cafe-san-francisco
"1049 MarketSan Francisco, CA 94103",,,No,,Yes,"Sports Wear,Outdoor Gear",,Yes,,,Open 24 hours,,,,,553,Open 24 hours,,,Street,(415) 813-1881,Inexpensive,5.0 star rating,,Open 24 hours,Open 24 hours,,Open 24 hours,Last Minute Gear,Open 24 hours,,Open 24 hours,,https://www.yelp.com/ /biz/last-minute-gear-san-francisco
"98 9th StSan Francisco, CA 94103",No,Casual,No,Casual,No,"Donuts,Coffee & Tea,Breakfast & Brunch",Yes,Yes,Yes,,5:00 am-6:00 pm,"Breakfast, Brunch, Lunch",Yes,Yes,Yes,554,5:00 am-6:00 pm,Quiet,No,Street,(415) 863-4949,Under $10,4.0 star rating,No,6:00 am-6:00 pm,6:00 am-6:00 pm,Yes,5:00 am-6:00 pm,All Star Cafe,5:00 am-6:00 pm,No,5:00 am-6:00 pm,Free,https://www.yelp.com/ /biz/all-star-cafe-san-francisco-3
"3111 16th StSan Francisco, CA 94103",Beer & Wine Only,Casual,No,Casual,Yes,Vietnamese,No,Yes,No,,11:30 am-11:00 pm,"Lunch, Dinner",Yes,Yes,No,555,11:30 am-10:00 pm,Average,No,Street,(415) 626-5022,Under $10,3.5 star rating,No,12:30 pm-10:00 pm,12:30 pm-10:00 pm,Yes,11:30 am-10:00 pm,Sunflower Vietnamese,11:30 am-10:00 pm,Yes,11:30 am-10:00 pm,No,https://www.yelp.com/ /biz/sunflower-vietnamese-san-francisco
"771 Ellis StSan Francisco, CA 94109",No,Casual,No,Casual,Yes,Thai,Yes,Yes,Yes,,11:00 am-3:00 pm4:00 pm-1:00 am,"Lunch, Dinner",Yes,Yes,Yes,556,11:00 am-3:00 pm4:00 pm-9:30 pm,Average,No,Street,(415) 885-0725,Under $10,3.5 star rating,Yes,11:00 am-1:00 am,11:00 am-9:30 pm,Yes,11:00 am-3:00 pm4:00 pm-9:30 pm,Zen Yai Thai Restaurant,11:00 am-3:00 pm4:00 pm-9:30 pm,Yes,11:00 am-3:00 pm4:00 pm-9:30 pm,No,https://www.yelp.com/ /biz/zen-yai-thai-restaurant-san-francisco
"1028 Potrero AveSan Francisco, CA 94110",Beer & Wine Only,Casual,No,Casual,Yes,"Mexican,Latin American",No,Yes,No,,10:00 am-10:00 pm,"Lunch, Dinner",Yes,Yes,No,557,10:00 am-10:00 pm,Average,No,Street,(415) 550-8313,Under $10,4.0 star rating,No,10:00 am-10:00 pm,11:00 am-9:30 pm,Yes,10:00 am-10:00 pm,La Paz Restaurant Pupuseria,10:00 am-10:00 pm,Yes,10:00 am-10:00 pm,No,https://www.yelp.com/ /biz/la-paz-restaurant-pupuseria-san-francisco
"684 King StSan Francisco, CA 94107",No,Casual,No,Casual,Yes,"Desserts,Gelato,Creperies",Yes,Yes,Yes,,11:00 am-5:00 pm,Lunch,Yes,Yes,No,558,11:00 am-5:00 pm,Average,Yes,"Garage, Street",(415) 795-1331,Under $10,4.0 star rating,No,11:00 am-5:00 pm,Closed,Yes,11:00 am-5:00 pm,CrepeCone by Sophie,11:00 am-5:00 pm,No,11:00 am-5:00 pm,No,https://www.yelp.com/ /biz/crepecone-by-sophie-san-francisco
"737 Portola DrSan Francisco, CA 94127",No,Casual,No,Casual,Yes,Sandwiches,Yes,Yes,Yes,,11:00 am-7:00 pm,Lunch,No,Yes,No,559,11:00 am-7:00 pm,Average,No,,(415) 681-9501,Under $10,3.5 star rating,No,11:00 am-6:00 pm,11:00 am-5:00 pm,Yes,11:00 am-7:00 pm,Pop’s Sandwich Shop,11:00 am-7:00 pm,No,11:00 am-7:00 pm,No,https://www.yelp.com/ /biz/pops-sandwich-shop-san-francisco
"100 6th StSan Francisco, CA 94103",Beer & Wine Only,Casual,No,Casual,Yes,Vietnamese,Yes,Yes,No,,10:30 am-9:30 pm,"Lunch, Dinner",Yes,Yes,Yes,560,10:30 am-9:30 pm,Average,No,Street,(415) 522-0332,Under $10,3.5 star rating,Yes,12:00 pm-9:30 pm,12:00 pm-9:30 pm,Yes,10:30 am-9:30 pm,Miss SaiGon,10:30 am-9:30 pm,Yes,10:30 am-9:30 pm,No,https://www.yelp.com/ /biz/miss-saigon-san-francisco-2
"1737 Post StSan Francisco, CA 94115",No,Casual,No,Casual,Yes,"Bakeries,Sandwiches",No,Yes,No,,9:00 am-8:00 pm,"Breakfast, Dessert",No,Yes,No,561,9:00 am-8:00 pm,Average,Yes,"Garage, Street",(415) 345-1046,Under $10,3.5 star rating,No,9:00 am-7:00 pm,9:00 am-7:00 pm,Yes,9:00 am-8:00 pm,Andersen Bakery,9:00 am-8:00 pm,No,9:00 am-8:00 pm,No,https://www.yelp.com/ /biz/andersen-bakery-san-francisco
"2211 Polk StSan Francisco, CA 94109",Full Bar,Divey,,,Yes,Dive Bars,,Yes,,,1:00 pm-2:00 am,,No,,Yes,562,1:00 pm-2:00 am,Average,No,Street,(415) 673-2211,Inexpensive,4.0 star rating,No,1:00 pm-2:00 am,1:00 pm-2:00 am,,1:00 pm-2:00 am,Cresta’s Twenty Two Eleven Club,1:00 pm-2:00 am,,1:00 pm-2:00 am,,https://www.yelp.com/ /biz/crestas-twenty-two-eleven-club-san-francisco
"602 Irving StSan Francisco, CA 94122",,,No,,Yes,Coffee & Tea,,Yes,,,6:00 am-6:00 pm,,,,,563,6:00 am-6:00 pm,,Yes,Street,(415) 661-1090,Inexpensive,4.0 star rating,,6:00 am-6:00 pm,7:00 am-6:00 pm,Yes,6:00 am-6:00 pm,The Beanery,6:00 am-6:00 pm,,6:00 am-6:00 pm,Free,https://www.yelp.com/ /biz/the-beanery-san-francisco-2
"841 Larkin StSan Francisco, CA 94109",Full Bar,Divey,,,No,Gay Bars,,Yes,,,8:00 am-2:00 am,,Yes,,Yes,564,8:00 am-2:00 am,Loud,No,Street,(415) 776-6828,Inexpensive,4.0 star rating,,8:00 am-2:00 am,8:00 am-2:00 am,,8:00 am-2:00 am,Gangway,8:00 am-2:00 am,,8:00 am-2:00 am,,https://www.yelp.com/ /biz/gangway-san-francisco
"3083 16th StSan Francisco, CA 94103",Beer & Wine Only,Casual,No,Casual,Yes,"Indian,Pakistani,Vegetarian",Yes,Yes,Yes,,11:00 am-11:00 pm,"Lunch, Dinner",Yes,Yes,Yes,565,11:00 am-11:00 pm,Average,No,Street,(415) 621-3935,Under $10,3.5 star rating,Yes,11:00 am-11:00 pm,11:00 am-11:00 pm,Yes,11:00 am-11:00 pm,Alhamra,11:00 am-11:00 pm,Yes,11:00 am-11:00 pm,No,https://www.yelp.com/ /biz/alhamra-san-francisco-4
"2522 Ocean AveSan Francisco, CA 94132",No,Casual,No,Casual,Yes,"Sandwiches,Vietnamese",No,Yes,No,,9:00 am-7:00 pm,Lunch,No,Yes,No,566,9:00 am-7:00 pm,Average,Yes,Street,(415) 334-1421,Under $10,4.0 star rating,No,10:00 am-7:00 pm,10:00 am-7:00 pm,Yes,9:00 am-7:00 pm,Dinosaurs Vietnamese Sandwiches,9:00 am-7:00 pm,No,9:00 am-7:00 pm,No,https://www.yelp.com/ /biz/dinosaurs-vietnamese-sandwiches-san-francisco-3
"644 Polk StSan Francisco, CA 94109",No,Casual,No,Casual,Yes,Cafes,No,Yes,No,,7:30 am-2:30 pm,Breakfast,No,Yes,No,567,7:30 am-2:30 pm,Quiet,No,Street,(415) 926-2540,Under $10,4.0 star rating,No,9:00 am-2:00 pm,9:00 am-2:00 pm,Yes,7:30 am-2:30 pm,Libby Jane Cafe,7:30 am-2:30 pm,No,7:30 am-2:30 pm,No,https://www.yelp.com/ /biz/libby-jane-cafe-san-francisco-2
"608 Geary StSan Francisco, CA 94102",No,Casual,No,Casual,Yes,"Mediterranean,Sandwiches",Yes,Yes,Yes,,11:30 am-3:00 am,"Lunch, Dinner, Late Night",Yes,Yes,Yes,568,11:30 am-12:00 am,Average,Yes,Street,(415) 292-7271,Under $10,4.0 star rating,No,11:30 am-3:00 am,11:30 am-12:00 am,Yes,11:30 am-12:00 am,Pharaohs Mediterranean Sandwich,11:30 am-12:00 am,No,11:30 am-12:00 am,Free,https://www.yelp.com/ /biz/pharaohs-mediterranean-sandwich-san-francisco
"701 Cole StSan Francisco, CA 94117",No,Casual,,Casual,Yes,"Coffee & Tea,Sandwiches,Bagels",No,Yes,No,,6:30 am-6:00 pm,"Breakfast, Lunch",No,Yes,No,569,6:30 am-6:00 pm,Quiet,No,Street,(415) 668-5282,Under $10,3.5 star rating,No,7:00 am-6:00 pm,7:00 am-6:00 pm,Yes,6:30 am-6:00 pm,Cole Valley Cafe,6:30 am-6:00 pm,No,6:30 am-6:00 pm,Free,https://www.yelp.com/ /biz/cole-valley-cafe-san-francisco
"1549 Polk StSan Francisco, CA 94109",,,No,,Yes,"Donuts,Coffee & Tea",,Yes,,,5:00 am-8:00 pm,,,,,570,5:00 am-8:00 pm,,No,Street,(415) 885-1942,Inexpensive,4.0 star rating,,6:00 am-7:00 pm,6:00 am-7:00 pm,Yes,5:00 am-8:00 pm,Donuts &amp; Things,5:00 am-8:00 pm,,5:00 am-8:00 pm,No,https://www.yelp.com/ /biz/donuts-and-things-san-francisco
"5454 Geary BlvdSan Francisco, CA 94121",No,Casual,No,Casual,Yes,Japanese Curry,No,Yes,No,,11:00 am-9:30 pm,"Lunch, Dinner",Yes,Yes,No,571,11:00 am-9:00 pm,Average,No,Street,(415) 752-7671,Under $10,4.0 star rating,No,11:00 am-9:30 pm,11:00 am-9:00 pm,Yes,11:00 am-9:00 pm,Volcano,11:00 am-9:00 pm,No,11:00 am-9:00 pm,No,https://www.yelp.com/ /biz/volcano-san-francisco
"1 Ferry BldgSan Francisco, CA 94111",No,Casual,,Casual,Yes,"Italian,Sandwiches",Yes,Yes,No,,9:30 am-6:00 pm,Lunch,No,Yes,No,572,9:30 am-6:00 pm,Average,No,Street,(415) 433-6500,Under $10,4.0 star rating,No,8:00 am-6:00 pm,11:00 am-5:00 pm,Yes,9:30 am-6:00 pm,Boccalone,9:30 am-6:00 pm,No,9:30 am-6:00 pm,No,https://www.yelp.com/ /biz/boccalone-san-francisco-2
"5170 Mission StSan Francisco, CA 94112",No,Divey,No,Casual,Yes,Mexican,No,Yes,No,,9:00 am-9:00 pm,Lunch,No,Yes,Yes,573,9:00 am-9:00 pm,Average,No,Street,(415) 585-5880,Under $10,4.5 star rating,No,9:00 am-9:00 pm,9:00 am-9:00 pm,Yes,9:00 am-9:00 pm,Tortas Boos Voni,9:00 am-9:00 pm,Yes,9:00 am-9:00 pm,No,https://www.yelp.com/ /biz/tortas-boos-voni-san-francisco
"752 Van Ness AveSan Francisco, CA 94102",,Casual,,Casual,Yes,Delis,,Yes,No,,6:00 am-3:00 pm,,Yes,Yes,,574,6:00 am-3:00 pm,Quiet,No,,(415) 913-7753,Under $10,4.5 star rating,No,9:00 am-3:00 pm,Closed,Yes,6:00 am-3:00 pm,Stoner’s,6:00 am-3:00 pm,No,6:00 am-3:00 pm,Free,https://www.yelp.com/ /biz/stoners-san-francisco
"600 Kearny StSan Francisco, CA 94108",No,Casual,No,Casual,No,"Sushi Bars,Japanese",Yes,Yes,No,,11:00 am-4:00 pm,Lunch,No,Yes,No,575,11:00 am-4:00 pm,Average,Yes,Street,,Under $10,4.0 star rating,No,Closed,Closed,Yes,11:00 am-4:00 pm,Sushi Taka,11:00 am-4:00 pm,No,11:00 am-4:00 pm,No,https://www.yelp.com/ /biz/sushi-taka-san-francisco-2
"2115 Irving StSan Francisco, CA 94122",No,Casual,Yes,Casual,Yes,"Delis,Mediterranean",Yes,Yes,No,,9:00 am-7:00 pm,Lunch,Yes,Yes,No,576,9:00 am-7:00 pm,Quiet,No,Street,(415) 664-8210,Under $10,4.0 star rating,No,9:00 am-7:00 pm,10:00 am-7:00 pm,Yes,9:00 am-7:00 pm,Sunrise Deli,9:00 am-7:00 pm,No,9:00 am-7:00 pm,No,https://www.yelp.com/ /biz/sunrise-deli-san-francisco-6
"511 Jones StSan Francisco, CA 94102",No,Casual,No,Casual,No,"Indian,Pakistani",Yes,Yes,No,,12:00 pm-12:00 am,"Lunch, Dinner",Yes,Yes,No,577,12:00 pm-12:00 am,Average,No,Street,(415) 931-5541,Under $10,3.5 star rating,No,12:00 pm-12:00 am,12:00 pm-12:00 am,Yes,12:00 pm-12:00 am,Chutney,12:00 pm-12:00 am,Yes,12:00 pm-12:00 am,No,https://www.yelp.com/ /biz/chutney-san-francisco
"3400 Geary BlvdSan Francisco, CA 94118",,,No,,Yes,Coffee & Tea,,Yes,,,6:30 am-6:00 pm,,,,,578,6:30 am-6:00 pm,,No,Street,(415) 933-8628,Inexpensive,4.0 star rating,,7:30 am-6:00 pm,7:30 am-5:00 pm,Yes,6:30 am-6:00 pm,Earth’s Coffee,6:30 am-6:00 pm,,6:30 am-6:00 pm,Free,https://www.yelp.com/ /biz/earths-coffee-san-francisco
"327 Kearny StSan Francisco, CA 94108",No,Casual,No,Casual,Yes,"Greek,Mediterranean",Yes,Yes,No,,10:00 am-4:00 pm,Lunch,No,Yes,No,579,10:00 am-4:00 pm,Average,Yes,Street,(415) 391-1154,Under $10,4.0 star rating,No,11:00 am-3:00 pm,Closed,Yes,10:00 am-4:00 pm,Ayola,10:00 am-4:00 pm,No,10:00 am-4:00 pm,No,https://www.yelp.com/ /biz/ayola-san-francisco-2
"647 Valencia StSan Francisco, CA 94110",Full Bar,Hipster,No,,Yes,"Bars,Dance Clubs,Music Venues",,No,,,5:00 pm-2:00 am,,Yes,No,No,580,5:00 pm-2:00 am,Very Loud,No,Street,(415) 552-7788,Inexpensive,3.5 star rating,No,5:00 pm-2:00 am,5:00 pm-2:00 am,,5:00 pm-2:00 am,Elbo Room,5:00 pm-2:00 am,,5:00 pm-2:00 am,,https://www.yelp.com/ /biz/elbo-room-san-francisco
"456 Castro StSan Francisco, CA 94114",Full Bar,,No,,Yes,"Gay Bars,Dance Clubs",,No,,,4:00 pm-2:00 am,,Yes,,Yes,581,4:00 pm-2:00 am,Very Loud,No,Street,(415) 864-2877,Inexpensive,3.5 star rating,No,2:00 pm-2:00 am,2:00 pm-2:00 am,,4:00 pm-2:00 am,Q Bar,4:00 pm-2:00 am,,4:00 pm-2:00 am,,https://www.yelp.com/ /biz/q-bar-san-francisco
"150 Toland StSan Francisco, CA 94124",Beer & Wine Only,Casual,No,Casual,Yes,"Delis,Cheesesteaks,Breakfast & Brunch",No,No,No,,6:30 am-2:30 pm,"Breakfast, Lunch",Yes,Yes,Yes,582,6:30 am-2:30 pm,Average,No,Street,(415) 821-3795,Under $10,4.5 star rating,No,Closed,Closed,Yes,6:30 am-2:30 pm,The Deli Lama,6:30 am-2:30 pm,No,6:30 am-2:30 pm,No,https://www.yelp.com/ /biz/the-deli-lama-san-francisco
"405 HowardSan Francisco, CA 94105",,,Yes,,Yes,Coffee & Tea,,Yes,,,5:00 am-7:00 pm,,,,,583,5:00 am-7:00 pm,,Yes,Street,(415) 593-8920,Inexpensive,4.5 star rating,,8:00 am-2:00 pm,Closed,Yes,5:00 am-7:00 pm,Peet’s Coffee,5:00 am-7:00 pm,,5:00 am-7:00 pm,Free,https://www.yelp.com/ /biz/peets-coffee-san-francisco-22
"617 Clement StSan Francisco, CA 94118",No,Casual,No,Casual,Yes,"Dim Sum,Barbeque",Yes,No,No,,9:00 am-6:00 pm,Lunch,No,Yes,No,584,9:00 am-6:00 pm,Average,No,Street,(415) 752-9520,Under $10,4.0 star rating,No,9:00 am-6:00 pm,9:00 am-6:00 pm,Yes,9:00 am-6:00 pm,Clement BBQ,9:00 am-6:00 pm,No,9:00 am-6:00 pm,No,https://www.yelp.com/ /biz/clement-bbq-san-francisco-2
"700 S Van Ness AveSan Francisco, CA 94110",No,Divey,No,Casual,Yes,Burgers,No,Yes,No,No,10:00 am-9:30 pm,Lunch,Yes,Yes,No,585,10:00 am-9:30 pm,Average,Yes,Private Lot,(415) 824-5888,Under $10,3.5 star rating,No,10:00 am-9:30 pm,10:00 am-9:30 pm,Yes,10:00 am-9:30 pm,Whiz Burgers Drive-In,10:00 am-9:30 pm,No,10:00 am-9:30 pm,No,https://www.yelp.com/ /biz/whiz-burgers-drive-in-san-francisco
