id,title,popularity,rating,price,cuisine,phone,food_rating,service_rating,value_rating,atmosphere_rating,price_range,feature,mon,tue,wed,thu,fri,sat,sun,address,description
329,Plouf,"#330 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"French,Seafood",+1 415-986-6491,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,$31 -$40,"Reservations, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar",11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 11:00 pm,5:30 pm - 11:00 pm,5:30 pm - 10:00 pm,"40 Belden Pl,San Francisco, CA 94104-2802","Address:40 Belden Pl,San Francisco, CA 94104-2802(Bush & Kearny)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Financial DistrictNeighborhood: Financial DistrictPhone Number:+1 415-986-6491trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
330,Z & Y Restaurant,"#331 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"Chinese,Asian",+1 415-981-8988,4 of 5 bubbles,3.5 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,,"Takeout, Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol",11:00 am - 9:30 pm,11:00 am - 9:30 pm,11:00 am - 9:30 pm,11:00 am - 9:30 pm,11:00 am - 10:30 pm,11:00 am - 10:30 pm,11:00 am - 9:30 pm,"655 Jackson St,San Francisco, CA 94133-5009","Address:655 Jackson St,San Francisco, CA 94133-5009Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;ChinatownNeighborhood: ChinatownPhone Number:+1 415-981-8988trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
331,Crab Station at Fishermans Wharf,"#332 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"American,Seafood,Fast Food,Soups",+1 415-474-8796,4 of 5 bubbles,3.5 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,,"Takeout, Seating, Wheelchair Accessible, Serves Alcohol",7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,"2803 Taylor St,Suite 2,San Francisco, CA 94133-1048","Address:2803 Taylor St,Suite 2,San Francisco, CA 94133-1048Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Fisherman’s WharfNeighborhood: Fisherman’s WharfPhone Number:+1 415-474-8796trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
332,The Pied Piper Bar & Maxfield's,"#333 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"American, Bar",+1 415-512-1111,4 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,4.5 of 5 bubbles,$25,"Seating, Waitstaff, Television, Wheelchair Accessible, Serves Alcohol, Full Bar",11:30 am - 12:00 am,11:30 am - 12:00 am,11:30 am - 12:00 am,11:30 am - 12:00 am,11:30 am - 12:00 am,11:00 am - 12:00 am,10:00 am - 12:00 am,"2 New Montgomery St,San Francisco, CA 94105-3402","Address:2 New Montgomery St,San Francisco, CA 94105-3402Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;SoMaNeighborhood: SoMaPhone Number:+1 415-512-1111trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
333,Delarosa,"#334 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"Italian, Bar,Pizza,Pub",+1 415-872-7363,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,,$15 -$30,"Takeout, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Accepts Visa, Outdoor Seating",11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 11:00 pm,"37 Yerba Buena Ln,San Francisco, CA 94103-3183","Address:37 Yerba Buena Ln,San Francisco, CA 94103-3183Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;SoMaNeighborhood: SoMaPhone Number:+1 415-872-7363trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
334,Mamacita Restaurant & Bar,"#335 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"Mexican,Latin",+1 415-346-8494,4.5 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,4 of 5 bubbles,$21 -$30,"Reservations, Seating, Waitstaff, Serves Alcohol, Full Bar, Wheelchair Accessible",5:30 pm - 12:00 am,5:30 pm - 12:00 am,5:30 pm - 12:00 am,5:30 pm - 12:00 am,5:30 pm - 12:00 am,5:30 pm - 12:00 am,5:30 pm - 12:00 am,"2317 Chestnut St,San Francisco, CA 94123-2609","Address:2317 Chestnut St,San Francisco, CA 94123-2609(Scott)Public Transportation:Muni: 28, 30, 43, 76.Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Marina DistrictNeighborhood: Marina DistrictPhone Number:+1 415-346-8494trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
335,Black Point Cafe,"#336 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$,"American,Cafe",+1 415-800-8448,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,,"Takeout, Seating",7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 7:00 pm,7:00 am - 8:00 pm,8:00 am - 8:00 pm,8:00 am - 7:00 pm,"882 North Point Street,San Francisco, CA 94109","Address:882 North Point Street,San Francisco, CA 94109Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Fisherman’s WharfNeighborhood: Fisherman’s WharfPhone Number:+1 415-800-8448trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
336,farm:table,"#337 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"American,Cafe",,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,,"Takeout, Outdoor Seating, Seating",,7:30 am - 2:00 pm,7:30 am - 2:00 pm,7:30 am - 2:00 pm,7:30 am - 2:00 pm,8:00 am - 3:00 pm,8:00 am - 3:00 pm,"754 Post St,918 D Avenue,San Francisco, CA 94109-6176","Address:754 Post St,918 D Avenue,San Francisco, CA 94109-6176Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscotrkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
337,Plaj,"#338 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$$$,"European, Swedish, Scandinavian, Norwegian",,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,$30 -$30,"Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar",5:00 pm - 8:30 pm,5:00 pm - 10:30 pm,5:00 pm - 10:30 pm,5:00 pm - 10:30 pm,5:00 pm - 11:00 pm,5:00 pm - 11:00 pm,5:00 pm - 8:30 pm,"333 Fulton St,San Francisco, CA 94102-4423","Address:333 Fulton St,San Francisco, CA 94102-4423(Franklin Street)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Hayes ValleyNeighborhood: Hayes ValleytrkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
338,Little Star Pizza,"#339 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Italian,Pizza",415-441-1118,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,$12 -$24,"Wheelchair Accessible, Takeout, Seating, Waitstaff, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Delivery, Television, Highchairs Available",5:00 pm - 9:30 pm,5:00 pm - 9:30 pm,5:00 pm - 9:30 pm,5:00 pm - 9:30 pm,4:00 pm - 10:30 pm,3:00 pm - 10:30 pm,3:00 pm - 9:30 pm,"846 Divisadero St,San Francisco, CA 94117","Address:846 Divisadero St,San Francisco, CA 94117Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:415-441-1118trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
339,Nopalito,"#340 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Mexican,Latin,Spanish",+1 415-233-9966,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,,"Takeout, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar",11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,11:30 am - 10:00 pm,"1224 9th Ave,San Francisco, CA 94122-2307","Address:1224 9th Ave,San Francisco, CA 94122-2307Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-233-9966trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
340,Umami Burger,"#341 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,American,+1 415-440-8626,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,,"Takeout, Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar",11:30 am - 10:30 pm,11:30 am - 10:30 pm,11:30 am - 10:30 pm,11:30 am - 10:30 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,11:30 am - 10:30 pm,"2184 Union St,San Francisco, CA 94123-4004","Address:2184 Union St,San Francisco, CA 94123-4004Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Marina DistrictNeighborhood: Marina DistrictPhone Number:+1 415-440-8626trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
341,Borobudur,"#342 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"Asian,Indonesian",+1 415-775-1512,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,$29 -$31,"Takeout, Reservations, Seating, Waitstaff, Serves Alcohol, Wheelchair Accessible",11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,1:00 pm - 10:00 pm,"700 Post St,San Francisco, CA 94109-6106","Address:700 Post St,San Francisco, CA 94109-6106(Jones Street)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-775-1512trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
342,Burma Love,"#343 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Asian,Burmese,Vegan Options",+1 415-861-2100,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,3 of 5 bubbles,,"Takeout, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar",11:30 am - 3:00 pm,11:30 am - 3:00 pm,11:30 am - 3:00 pm,11:30 am - 3:00 pm,11:30 am - 3:00 pm,11:30 am - 3:00 pm,11:30 am - 3:00 pm,"211 Valencia St,San Francisco, CA 94103-2319","Address:211 Valencia St,San Francisco, CA 94103-2319Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Mission DistrictNeighborhood: Mission DistrictPhone Number:+1 415-861-2100trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
343,Beanstalk Cafe,"#344 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$,"American,Cafe",+1 415-576-1966,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,3.5 of 5 bubbles,,"Takeout, Seating, Wheelchair Accessible",8:00 am - 7:00 pm,8:00 am - 7:00 pm,8:00 am - 7:00 pm,8:00 am - 7:00 pm,8:00 am - 7:00 pm,8:00 am - 7:00 pm,8:00 am - 4:00 pm,"724 Bush St,San Francisco, CA 94108-3403","Address:724 Bush St,San Francisco, CA 94108-3403Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Union SquareNeighborhood: Union SquarePhone Number:+1 415-576-1966trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
344,Osha Thai Restaurant,"#345 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"Asian,Thai,Gluten Free Options",+1 415-788-6742,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,$15 -$20,"Takeout, Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar, Outdoor Seating",11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,"4 Embarcadero Center,San Francisco, CA 94111","Address:4 Embarcadero Center,San Francisco, CA 94111Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Financial DistrictNeighborhood: Financial DistrictPhone Number:+1 415-788-6742trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
345,Amici's East Coast Pizzeria,"#346 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"Italian,Pizza",+1 415-885-4500,4 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,3.5 of 5 bubbles,$20,"Delivery, Takeout, Seating, Waitstaff, Television, Wheelchair Accessible, Serves Alcohol, Reservations",11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 11:00 pm,11:30 am - 11:00 pm,11:30 am - 10:00 pm,"2200 Lombard St,San Francisco, CA 94123-2704","Address:2200 Lombard St,San Francisco, CA 94123-2704Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Marina DistrictNeighborhood: Marina DistrictPhone Number:+1 415-885-4500trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
346,Alioto’s Waterside Cafe,"#347 of 4,344 Restaurants in San Francisco",3.5 of 5 bubbles,$$ - $$$,"American,Seafood,Soups",+1 415-359-1200,4 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,4 of 5 bubbles,,"Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar, Highchairs Available",10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,"#7 Fishmeran_s Wharf,San Francisco, CA","Address:#7 Fishmeran_s Wharf,San Francisco, CALocation:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Fisherman’s WharfNeighborhood: Fisherman’s WharfPhone Number:+1 415-359-1200trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
347,Ramen Underground,"#348 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$,"Japanese,Soups,Asian",+1 415-765-9909,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,,"Takeout, Seating, Waitstaff, Serves Alcohol",11:30 am - 9:00 pm,11:30 am - 9:00 pm,11:30 am - 9:00 pm,11:30 am - 9:00 pm,11:30 am - 11:00 pm,11:30 am - 11:00 pm,,"355 Kearny St,San Francisco, CA 94108-3204","Address:355 Kearny St,San Francisco, CA 94108-3204Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Financial DistrictNeighborhood: Financial DistrictPhone Number:+1 415-765-9909trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
348,Sam's Grill,"#349 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"American,Seafood",+1 415-421-0594,4 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,4 of 5 bubbles,$40,"Reservations, Private Dining, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar",11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,,,"374 Bush St,San Francisco, CA 94104-2805","Address:374 Bush St,San Francisco, CA 94104-2805Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Financial DistrictNeighborhood: Financial DistrictPhone Number:+1 415-421-0594trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
349,Alexander's Steakhouse,"#350 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$$$,"American,Steakhouse",+1 415-495-1111,4.5 of 5 bubbles,4.5 of 5 bubbles,3.5 of 5 bubbles,4.5 of 5 bubbles,$45 -$75,"Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar, Private Dining, Valet Parking",5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 9:00 pm,"448 Brannan St,San Francisco, CA 94107-1713","Address:448 Brannan St,San Francisco, CA 94107-1713(Between 3rd & 4th)Public Transportation:Caltrain, MUNILocation:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;SoMaNeighborhood: SoMaPhone Number:+1 415-495-1111trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
350,OneUP,"#351 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"American, Bar,Pub,Gluten Free Options",+1 415-398-1234,4 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,4 of 5 bubbles,$31 -$50,"Reservations, Seating, Waitstaff, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Validated Parking",5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,"345 Stockton Street,Grand Hyatt, Union Square,San Francisco, CA 94108","Address:345 Stockton Street,Grand Hyatt, Union Square,San Francisco, CA 94108(Sutter)Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Union SquareNeighborhood: Union SquarePhone Number:+1 415-398-1234trkP:waypoint_for_poiPLACEMENT waypoint_for_poiThis restaurant is atGrand Hyatt San Franciscoetk"
351,Magnolia Pub & Brewery,"#352 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$ - $$$,"American, Brew Pub, Bar,Pub,Gluten Free Options",+1 415-864-7468,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,$15 -$35,"Takeout, Outdoor Seating, Highchairs Available, Wheelchair Accessible, Free Wifi, Seating, Waitstaff, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover",11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 10:00 pm,"2345 Third Street,San Francisco, CA 94117","Address:2345 Third Street,San Francisco, CA 94117Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Haight-AshburyNeighborhood: Haight-AshburyPhone Number:+1 415-864-7468trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
352,Mortons Steak,"#353 of 4,344 Restaurants in San Francisco",4 of 5 bubbles,$$$$,"American,Steakhouse",+1 415-986-5830,4.5 of 5 bubbles,4.5 of 5 bubbles,3.5 of 5 bubbles,4 of 5 bubbles,,"Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Full Bar, Private Dining, Television",4:00 pm - 11:00 pm,4:00 pm - 11:00 pm,4:00 pm - 11:00 pm,4:00 pm - 11:00 pm,2:00 pm - 11:00 pm,2:00 pm - 11:00 pm,5:00 pm - 10:15 pm,"331 Sutter St,San Francisco, CA 94108-4301","Address:331 Sutter St,San Francisco, CA 94108-4301Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Union SquareNeighborhood: Union SquarePhone Number:+1 415-986-5830trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
353,Parada 22,"#354 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Caribbean,Latin, Puerto Rican",+1 415-750-1111,4.5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,,"Seating, Waitstaff, Serves Alcohol, Takeout",11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,"1805 Haight St,San Francisco, CA 94117-2711","Address:1805 Haight St,San Francisco, CA 94117-2711Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Haight-AshburyNeighborhood: Haight-AshburyPhone Number:+1 415-750-1111trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
354,The Monk's Kettle,"#355 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"American, Bar,Pub",+1 415-865-9523,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,$15 -$20,"Seating, Waitstaff, Serves Alcohol, Full Bar",12:00 pm - 2:00 am,12:00 pm - 2:00 am,12:00 pm - 2:00 am,12:00 pm - 2:00 am,12:00 pm - 2:00 am,12:00 pm - 2:00 am,12:00 pm - 2:00 am,"3141 16th St,San Francisco, CA 94103-3334","Address:3141 16th St,San Francisco, CA 94103-3334Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Mission DistrictNeighborhood: Mission DistrictPhone Number:+1 415-865-9523trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
355,Front Porch,"#356 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,American,+1 415-695-7800,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,$29 -$31,"Seating, Waitstaff, Serves Alcohol, Full Bar, Takeout, Reservations, Outdoor Seating",5:30 pm - 10:30 pm,5:30 pm - 10:30 pm,5:30 pm - 10:30 pm,5:30 pm - 10:30 pm,5:30 pm - 10:30 pm,10:00 am - 10:30 pm,10:00 am - 10:00 pm,"65 29th St,San Francisco, CA 94110-4910","Address:65 29th St,San Francisco, CA 94110-4910(Between Mission and San Jose St.)Public Transportation:14 mission 24th street Bart stationLocation:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-695-7800trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
356,Golden Era Vegan Restaurant,"#357 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Asian,Chinese,Vietnamese,Vegetarian Friendly,Vegan Options",+1 415-487-8687,5 of 5 bubbles,4 of 5 bubbles,4.5 of 5 bubbles,3.5 of 5 bubbles,$15 -$15,"Takeout, Seating, Waitstaff, Wheelchair Accessible, Reservations",11:00 am - 9:00 pm,,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,"395 Golden Gate Ave,395 Golden Gate Avenue, 94102, San Francisco, California,San Francisco, CA 94102-3608","Address:395 Golden Gate Ave,395 Golden Gate Avenue, 94102, San Francisco, California,San Francisco, CA 94102-3608Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Civic CenterNeighborhood: Civic CenterPhone Number:+1 415-487-8687trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
357,Burgermeister,"#358 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$,"American,Fast Food",+1 415-296-9907,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,3.5 of 5 bubbles,$5 -$10,"Takeout, Seating, Television, Serves Alcohol",11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,"759 Columbus Ave,San Francisco, CA 94133-2701","Address:759 Columbus Ave,San Francisco, CA 94133-2701Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Russian HillNeighborhood: Russian HillPhone Number:+1 415-296-9907trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
358,Alamo Square Seafood Grill,"#359 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Seafood,French,American",+1 415-440-2828,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,4.5 of 5 bubbles,$20 -$30,"Reservations, Seating, Waitstaff, Serves Alcohol, Wheelchair Accessible",5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:30 pm - 10:00 pm,5:00 pm - 9:00 pm,"803 Fillmore St,San Francisco, CA 94117-1703","Address:803 Fillmore St,San Francisco, CA 94117-1703(Grove)Public Transportation:Fillmore 22 lineLocation:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San FranciscoPhone Number:+1 415-440-2828trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
359,Namu Gaji,"#360 of 4,344 Restaurants in San Francisco",4.5 of 5 bubbles,$$ - $$$,"Asian,Korean,Gluten Free Options",+1 415-431-6268,4.5 of 5 bubbles,4.5 of 5 bubbles,4 of 5 bubbles,4 of 5 bubbles,,"Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol",,5:00 pm - 10:00 pm,5:00 pm - 10:00 pm,5:00 pm - 10:00 pm,11:30 am - 4:00 pm,5:00 pm - 11:00 pm,5:00 pm - 10:00 pm,"499 Dolores St,at 18th St,San Francisco, CA 94110-1023","Address:499 Dolores St,at 18th St,San Francisco, CA 94110-1023Location:United States&nbsp;&gt;&nbsp; California (CA)&nbsp;&gt;&nbsp; San Francisco>&nbsp;&gt;&nbsp;Mission DistrictNeighborhood: Mission DistrictPhone Number:+1 415-431-6268trkP:waypoint_for_poiPLACEMENT waypoint_for_poietk"
