id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,reservations,delivery,takeout,creditCard,applePay,goodFor,parking,bikeParking,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,outdoorSeating,wifi,hasTV,waiterService,caters,driveThrough
1357,Cocotte,http://www.yelp.com/ /biz/cocotte-san-francisco,French,$31-60,4.0 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,Closed,"1521 Hyde StSan Francisco, CA 94109",(415) 292-4415,Yes,No,Yes,Yes,No,Dinner,Street,No,No,No,Casual,Intimate,Average,Beer & Wine Only,Yes,No,No,Yes,No,
1358,Twenty Five Lusk,http://www.yelp.com/ /biz/twenty-five-lusk-san-francisco,"American (New),Lounges",$31-60,4.0 star rating,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-9:00 pm,"25 Lusk StSan Francisco, CA 94107",(888) 995-6648,Yes,No,No,Yes,No,Dinner,"Valet, Garage, Street",Yes,No,Yes,Dressy,Upscale,Average,Full Bar,No,Free,No,Yes,No,
1359,ICHI Sushi,http://www.yelp.com/ /biz/ichi-sushi-san-francisco-3,"Japanese,Sushi Bars",$31-60,3.5 star rating,11:30 am-2:00 pm5:30 pm-10:00 pm,11:30 am-2:00 pm5:30 pm-10:00 pm,11:30 am-2:00 pm5:30 pm-10:00 pm,11:30 am-2:00 pm5:30 pm-10:00 pm,11:30 am-2:00 pm5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-9:30 pm,"3369 Mission StSan Francisco, CA 94110",(415) 525-4750,Yes,No,No,Yes,No,Dinner,Street,Yes,No,No,Casual,,Average,Beer & Wine Only,No,No,No,Yes,No,
1360,Earthbody,http://www.yelp.com/ /biz/earthbody-san-francisco-2,"Massage,Day Spas,Skin Care",Pricey,4.5 star rating,9:00 am-9:45 pm,Closed,9:00 am-9:45 pm,9:00 am-9:45 pm,9:00 am-9:45 pm,9:00 am-9:45 pm,9:00 am-9:45 pm,"534 Laguna StSan Francisco, CA 94102",(415) 552-7200,,,,Yes,No,,Street,Yes,,,,,,,,,,,,
1361,The Hancock Room,http://www.yelp.com/ /biz/the-hancock-room-san-francisco,"Lounges,Cocktail Bars",Pricey,4.5 star rating,Closed,Closed,Closed,Closed,9:00 pm-1:30 am,9:00 pm-1:30 am,Closed,"1350 Powell StSan Francisco, CA 94133",(415) 699-6545,,,,Yes,,,"Garage, Street",Yes,,Yes,,,Quiet,Full Bar,No,,No,,,
1362,Maybeck’s,http://www.yelp.com/ /biz/maybecks-san-francisco,"American (New),Italian,Cocktail Bars",$31-60,4.0 star rating,4:30 pm-2:00 am,4:30 pm-2:00 am,4:30 pm-2:00 am,4:30 pm-2:00 am,4:30 pm-2:00 am,4:30 pm-2:00 am,4:30 pm-2:00 am,"3213 Scott StSan Francisco, CA 94123",(415) 400-8500,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Average,Full Bar,Yes,No,Yes,Yes,No,
1363,Venticello Ristorante,http://www.yelp.com/ /biz/venticello-ristorante-san-francisco,Italian,$31-60,4.0 star rating,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,"1257 Taylor StSan Francisco, CA 94108",(415) 922-2545,Yes,No,No,Yes,,Dinner,Street,Yes,No,No,Dressy,"Intimate, Romantic",Average,Full Bar,No,No,No,Yes,No,
1364,Tadich Grill,http://www.yelp.com/ /biz/tadich-grill-san-francisco,"Seafood,American (Traditional)",$31-60,4.0 star rating,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,11:30 am-9:30 pm,Closed,"240 California StSan Francisco, CA 94111",(415) 391-1849,No,No,Yes,Yes,No,"Lunch, Dinner",Street,No,No,Yes,Casual,,Average,Full Bar,No,No,No,Yes,No,
1365,Dainese D-Store,http://www.yelp.com/ /biz/dainese-d-store-san-francisco-2,"Motorcycle Gear,Ski & Snowboard Shops",Pricey,5.0 star rating,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"131 S Van Ness AveSan Francisco, CA 94103",(415) 626-5478,,,,Yes,Yes,,"Street, Private Lot",Yes,,,,,,,,,,,,
1366,Leo’s Oyster Bar,http://www.yelp.com/ /biz/leos-oyster-bar-san-francisco-2,"Bars,Seafood",$31-60,4.0 star rating,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,5:00 pm-11:00 pm,Closed,"568 Sacramento StSan Francisco, CA 94111",(415) 872-9982,Yes,No,Yes,Yes,No,Dinner,Street,No,No,No,Casual,Upscale,Average,Full Bar,No,No,No,Yes,No,
1367,Seventh Son Tattoo,http://www.yelp.com/ /biz/seventh-son-tattoo-san-francisco,Tattoo,Pricey,5.0 star rating,Closed,12:00 pm-7:00 pm,12:00 pm-7:00 pm,12:00 pm-7:00 pm,12:00 pm-7:00 pm,12:00 pm-7:00 pm,Closed,"765 Clementina StSan Francisco, CA 94103",(415) 551-7766,,,,No,No,,Street,Yes,,,,,,,,,,,,
1368,Music Exchange,http://www.yelp.com/ /biz/music-exchange-san-francisco,Musical Instruments & Teachers,Pricey,5.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"700 Van Ness AveSan Francisco, CA 94102",(415) 552-0445,,,,Yes,No,,Street,No,,,,,,,,,,,,
1369,Tawla,http://www.yelp.com/ /biz/tawla-san-francisco-2,"Mediterranean,Tapas/Small Plates",$31-60,3.5 star rating,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,"206 Valencia StSan Francisco, CA 94103",(415) 814-2704,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Average,Beer & Wine Only,No,No,No,Yes,No,
1370,Cotogna,http://www.yelp.com/ /biz/cotogna-san-francisco,Italian,$31-60,4.0 star rating,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-12:00 am,11:30 am-12:00 am,5:00 pm-9:00 pm,"490 Pacific AveSan Francisco, CA 94133",(415) 775-8508,Yes,No,Yes,Yes,No,Dinner,"Valet, Street",Yes,No,Yes,Casual,,Average,Full Bar,No,No,No,Yes,No,
1371,Pabu,http://www.yelp.com/ /biz/pabu-san-francisco,"Japanese,Sushi Bars,Cocktail Bars",$31-60,4.0 star rating,11:30 am-2:00 pm5:30 pm-10:00 pm,11:30 am-2:00 pm5:30 pm-10:00 pm,11:30 am-2:00 pm5:30 pm-10:00 pm,11:30 am-2:00 pm5:30 pm-10:00 pm,11:30 am-2:00 pm5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,"101 California StSan Francisco, CA 94111",(415) 668-7228,Yes,No,No,Yes,No,Dinner,Valet,Yes,No,Yes,Dressy,,Average,Full Bar,Yes,No,No,Yes,Yes,
1372,The Lounge at The Ritz-Carlton,http://www.yelp.com/ /biz/the-lounge-at-the-ritz-carlton-san-francisco,"Lounges,American (New)",$31-60,4.0 star rating,11:30 am-12:00 am,11:30 am-12:00 am,11:30 am-12:00 am,11:30 am-12:00 am,11:30 am-12:00 am,11:30 am-12:00 am,11:30 am-12:00 am,"600 Stockton StSan Francisco, CA 94108",(415) 296-7465,Yes,No,No,Yes,,Lunch,"Valet, Street",No,No,Yes,Dressy,"Classy, Upscale",Average,Full Bar,No,Free,Yes,Yes,Yes,
1373,SF Guitarworks,http://www.yelp.com/ /biz/sf-guitarworks-san-francisco,"Musical Instruments & Teachers,Electronics Repair,Musical Instrument Services",Pricey,5.0 star rating,Closed,12:00 pm-7:00 pm,12:00 pm-7:00 pm,12:00 pm-7:00 pm,12:00 pm-7:00 pm,11:00 am-5:00 pm,Closed,"323 Potrero AveSan Francisco, CA 94103",(415) 865-5424,,,,Yes,No,,Street,Yes,,,,,,,,,,,,
1374,Dark Garden,http://www.yelp.com/ /biz/dark-garden-san-francisco,"Lingerie,Bridal",Pricey,4.5 star rating,11:00 am-5:00 pm,11:00 am-5:00 pm,11:00 am-5:00 pm,11:00 am-6:00 pm,11:30 am-6:30 pm,11:30 am-6:30 pm,11:00 am-5:00 pm,"321 Linden StSan Francisco, CA 94102",(415) 431-7684,,,,Yes,,,Street,Yes,,,,,,,,,,,,
1375,Tsunami Panhandle,http://www.yelp.com/ /biz/tsunami-panhandle-san-francisco-2,"Sushi Bars,Japanese",$31-60,3.5 star rating,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-12:00 am,5:30 pm-12:00 am,Closed,"1306 Fulton StSan Francisco, CA 94117",(415) 567-7664,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Average,Full Bar,No,No,No,Yes,No,
1376,Pak Oriental Rug,http://www.yelp.com/ /biz/pak-oriental-rug-san-francisco,"Carpet Cleaning,Rugs",Pricey,5.0 star rating,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,Closed,,(415) 863-9910,,,,Yes,No,,Private Lot,Yes,,,,,,,,,,,,
1377,Roy’s Restaurant,http://www.yelp.com/ /biz/roys-restaurant-san-francisco-3,"Seafood,Steakhouses,Asian Fusion",$31-60,4.0 star rating,11:30 am-2:00 pm4:00 pm-10:00 pm,11:30 am-2:00 pm4:00 pm-10:00 pm,11:30 am-2:00 pm4:00 pm-10:00 pm,11:30 am-2:00 pm4:00 pm-10:00 pm,11:30 am-2:00 pm4:00 pm-11:00 pm,4:00 pm-11:00 pm,4:00 pm-9:00 pm,"575 Mission StSan Francisco, CA 94105",(415) 777-0277,Yes,No,No,Yes,Yes,Dinner,Street,Yes,No,Yes,Dressy,Classy,Average,Full Bar,No,No,Yes,Yes,Yes,
1378,Luce,http://www.yelp.com/ /biz/luce-san-francisco,"American (New),Desserts,Wine Bars",$31-60,3.5 star rating,6:00 am-2:30 pm5:30 pm-9:30 pm,6:00 am-2:30 pm5:30 pm-9:30 pm,6:00 am-2:30 pm5:30 pm-9:30 pm,6:00 am-2:30 pm5:30 pm-9:30 pm,6:00 am-2:30 pm5:30 pm-10:30 pm,6:00 am-2:30 pm5:30 pm-10:30 pm,6:00 am-2:30 pm5:30 pm-9:30 pm,,(415) 616-6566,Yes,No,No,Yes,No,Dinner,"Valet, Validated",No,No,Yes,Dressy,"Classy, Upscale",Average,Full Bar,No,Free,No,Yes,No,
1379,Maria Lee Makeup and Hair,http://www.yelp.com/ /biz/maria-lee-makeup-and-hair-san-francisco,"Makeup Artists,Hair Salons,Eyelash Service",Pricey,5.0 star rating,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,"2074 Ellis StSan Francisco, CA 94115",(415) 902-0625,,,,Yes,,,Street,Yes,No,,,,,,,,,,,
1380,Le Colonial,http://www.yelp.com/ /biz/le-colonial-san-francisco,"Vietnamese,Venues & Event Spaces,French",$31-60,3.5 star rating,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-10:00 pm,"20 Cosmo PlSan Francisco, CA 94109",(415) 931-3600,Yes,No,No,Yes,No,Dinner,"Valet, Street",No,No,Yes,Dressy,Classy,Average,Full Bar,Yes,Free,No,Yes,Yes,
1381,Sushi Hon,http://www.yelp.com/ /biz/sushi-hon-san-francisco,"Japanese,Sushi Bars",$31-60,4.0 star rating,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,"2598 Harrison StreetSan Francisco, CA 94110",(415) 525-4527,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Average,Beer & Wine Only,Yes,Free,Yes,Yes,No,
1382,El Mansour,http://www.yelp.com/ /biz/el-mansour-san-francisco,Moroccan,$31-60,4.0 star rating,Closed,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,"3119 Clement StSan Francisco, CA 94121",(415) 751-2312,Yes,No,No,Yes,,Dinner,Street,Yes,Yes,Yes,Casual,,Average,Beer & Wine Only,No,Free,No,Yes,No,
1383,Hillstone,http://www.yelp.com/ /biz/hillstone-san-francisco-4,"American (New),Diners,Wine Bars",$31-60,4.0 star rating,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-10:00 pm,"1800 Montgomery StSan Francisco, CA 94111",(415) 392-9280,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Classy,Average,Full Bar,Yes,No,Yes,Yes,No,
1384,Crustacean Restaurant,http://www.yelp.com/ /biz/crustacean-restaurant-san-francisco,"Asian Fusion,Vietnamese",$31-60,3.5 star rating,5:00 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,11:30 am-2:30 pm5:00 pm-9:00 pm,"1475 Polk StSan Francisco, CA 94109",(415) 776-2722,Yes,No,Yes,Yes,,Dinner,"Valet, Street",Yes,No,Yes,Casual,,Average,Full Bar,No,No,No,Yes,No,
1385,Scoma’s Restaurant,http://www.yelp.com/ /biz/scomas-restaurant-san-francisco-3,"Seafood,Italian",$31-60,4.0 star rating,11:30 am-9:30 pm,11:30 am-9:30 pm,11:30 am-9:30 pm,11:30 am-9:30 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-9:30 pm,"1965 Al Scoma WaySan Francisco, CA 94133",(415) 771-4383,Yes,No,Yes,Yes,No,Dinner,Valet,Yes,Yes,Yes,Casual,Classy,Average,Full Bar,No,Free,Yes,Yes,No,
1386,Coqueta,http://www.yelp.com/ /biz/coqueta-san-francisco,"Spanish,Tapas/Small Plates",$31-60,4.0 star rating,4:00 pm-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-10:00 pm,"The EmbarcaderoSan Francisco, CA 94105",(415) 704-8866,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Loud,Full Bar,Yes,No,No,Yes,No,
1387,Idle Hand Tattoo Studio,http://www.yelp.com/ /biz/idle-hand-tattoo-studio-san-francisco,Tattoo,Pricey,4.5 star rating,12:00 pm-8:00 pm,12:00 pm-8:00 pm,12:00 pm-8:00 pm,12:00 pm-8:00 pm,12:00 pm-8:00 pm,12:00 pm-8:00 pm,12:00 pm-8:00 pm,"575 Haight StSan Francisco, CA 94117",(415) 552-4353,,,,No,No,,Street,Yes,,,,,,,,,,,,
1388,Blowfish Sushi,http://www.yelp.com/ /biz/blowfish-sushi-san-francisco,"Sushi Bars,Japanese",$31-60,3.5 star rating,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:30 pm,11:30 am-2:30 pm5:30 pm-10:30 pm,11:30 am-2:30 pm5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-10:00 pm,"2170 Bryant StSan Francisco, CA 94110",(415) 285-3848,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Loud,Full Bar,Yes,Free,Yes,Yes,Yes,
1389,Bobo’s Burger Bar,http://www.yelp.com/ /biz/bobos-burger-bar-san-francisco-2,Burgers,$31-60,4.0 star rating,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-1:00 am,5:00 pm-1:00 am,5:00 pm-12:00 am,"1434 Lombard StSan Francisco, CA 94123",(415) 683-7007,Yes,No,Yes,Yes,,,Valet,Yes,No,Yes,Casual,"Intimate, Classy",Average,Full Bar,No,Free,No,Yes,,No
1390,The Speakeasy SF,http://www.yelp.com/ /biz/the-speakeasy-sf-san-francisco,"Performing Arts,Speakeasies",Pricey,4.5 star rating,,,,,,,,"San Francisco, CA 94133",(415) 891-9744,Yes,,,Yes,No,,Street,No,No,Yes,,"Classy, Upscale",Loud,Full Bar,No,,No,,,
1391,Trou Normand,http://www.yelp.com/ /biz/trou-normand-san-francisco,"Cocktail Bars,Breakfast & Brunch",$31-60,4.0 star rating,11:30 am-10:30 pm,11:30 am-10:30 pm,11:30 am-10:30 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,10:30 am-11:00 pm,10:30 am-9:30 pm,"140 New Montgomery StSan Francisco, CA 94105",(415) 975-0876,Yes,No,Yes,Yes,No,,Street,Yes,No,Yes,Casual,,Average,Full Bar,No,No,No,Yes,No,
1392,Fogo de Chão Brazilian Steakhouse,http://www.yelp.com/ /biz/fogo-de-ch%C3%A3o-brazilian-steakhouse-san-francisco-4,"Brazilian,Steakhouses",$31-60,4.0 star rating,11:30 am-2:00 pm5:00 pm-10:00 pm,11:30 am-2:00 pm5:00 pm-10:00 pm,11:30 am-2:00 pm5:00 pm-10:00 pm,11:30 am-2:00 pm5:00 pm-10:00 pm,11:30 am-2:00 pm5:00 pm-10:30 pm,11:30 am-10:30 pm,11:00 am-2:00 pm3:00 pm-9:00 pm,"201 3rd StSan Francisco, CA 94103",(415) 427-0004,Yes,No,No,Yes,No,Dinner,"Valet, Street",No,Yes,Yes,Casual,,Average,Full Bar,No,No,No,Yes,No,
1393,The New Wheel Electric Bikes,http://www.yelp.com/ /biz/the-new-wheel-electric-bikes-san-francisco-2,"Bikes,Bike Repair/Maintenance",Pricey,5.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,"420 Cortland AveSan Francisco, CA 94110",(415) 524-7362,,,,Yes,Yes,,Street,Yes,,,,,,,,,,,,
1394,5A5 Steak Lounge,http://www.yelp.com/ /biz/5a5-steak-lounge-san-francisco-4,Steakhouses,$31-60,4.0 star rating,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:30 pm,5:00 pm-10:30 pm,5:00 pm-9:00 pm,"244 Jackson StSan Francisco, CA 94111",(415) 989-2539,Yes,No,Yes,Yes,No,Dinner,"Valet, Street",No,No,Yes,Dressy,Classy,Average,Full Bar,No,Free,No,Yes,No,
1395,Eyes On Twenty-Fourth Optometry,http://www.yelp.com/ /biz/eyes-on-twenty-fourth-optometry-san-francisco,"Optometrists,Eyewear & Opticians",Pricey,4.5 star rating,Closed,11:00 am-7:00 pm,10:00 am-6:00 pm,11:00 am-7:00 pm,10:00 am-6:00 pm,10:00 am-5:00 pm,Closed,"4110 24th StSan Francisco, CA 94114",(415) 282-1366,,,,Yes,,,Street,Yes,,,,,,,,,,,,
1396,Prospect,http://www.yelp.com/ /biz/prospect-san-francisco,American (New),$31-60,4.0 star rating,11:30 am-2:00 pm4:00 pm-9:30 pm,11:30 am-2:00 pm4:00 pm-9:30 pm,11:30 am-2:00 pm4:00 pm-10:00 pm,11:30 am-2:00 pm4:00 pm-10:00 pm,11:30 am-2:00 pm4:00 pm-10:00 pm,5:30 pm-10:00 pm,Closed,"300 Spear StSan Francisco, CA 94105",(415) 247-7770,Yes,No,Yes,Yes,No,Dinner,"Valet, Street",Yes,No,Yes,Dressy,Upscale,Average,Full Bar,No,Free,No,Yes,No,
1397,Florio Bar &amp; Cafe,http://www.yelp.com/ /biz/florio-bar-and-cafe-san-francisco,"Italian,Mediterranean,Bars",$31-60,3.5 star rating,5:30 pm-9:00 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-9:00 pm,"1915 Fillmore StSan Francisco, CA 94115",(415) 775-4300,Yes,No,Yes,Yes,Yes,Dinner,Street,Yes,No,Yes,Casual,Romantic,Average,Full Bar,Yes,No,No,Yes,No,
1398,Gaspar Brasserie,http://www.yelp.com/ /biz/gaspar-brasserie-san-francisco,"Brasseries,French,Cocktail Bars",$31-60,4.0 star rating,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,5:30 pm-10:00 pm,Closed,"185 Sutter StSan Francisco, CA 94104",(415) 576-8800,Yes,No,Yes,Yes,No,Dinner,"Garage, Street",No,No,Yes,Dressy,Intimate,Average,Full Bar,No,No,No,Yes,Yes,
1399,Forbes Island,http://www.yelp.com/ /biz/forbes-island-san-francisco,"American (New),Seafood,Wine Bars",$31-60,4.0 star rating,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,"Pier 41San Francisco, CA 94133",(415) 951-4900,Yes,No,No,Yes,No,Dinner,"Garage, Validated",No,No,Yes,Dressy,Romantic,Quiet,Full Bar,Yes,No,No,Yes,No,
1400,Hair Caffe,http://www.yelp.com/ /biz/hair-caffe-san-francisco,Hair Salons,Pricey,5.0 star rating,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,"2176 Sutter StSan Francisco, CA 94115",(415) 525-4678,,,,Yes,Yes,,Street,Yes,Yes,,,,,,,,,,,
1401,"Suetake Bros, Inc",http://www.yelp.com/ /biz/suetake-bros-inc-san-francisco-2,Jewelry,Pricey,5.0 star rating,Closed,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-2:00 pm,Closed,"210 Post StSan Francisco, CA 94108",(415) 391-8047,,,,No,No,,"Garage, Street",Yes,,,,,,,,,,,,
1402,Scala’s Bistro,http://www.yelp.com/ /biz/scalas-bistro-san-francisco,Italian,$31-60,3.5 star rating,7:00 am-10:30 am11:30 am-3:00 pm5:30 pm-11:00 pm,7:00 am-10:30 am11:30 am-3:00 pm5:30 pm-11:00 pm,7:00 am-10:30 am11:30 am-3:00 pm5:30 pm-11:00 pm,7:00 am-10:30 am11:30 am-3:00 pm5:30 pm-11:00 pm,7:00 am-10:30 am11:30 am-3:00 pm5:30 pm-11:00 pm,8:00 am-3:00 pm5:30 pm-11:00 pm,8:00 am-3:00 pm5:30 pm-11:00 pm,"432 Powell StSan Francisco, CA 94102",(415) 395-8555,Yes,No,No,Yes,No,Dinner,"Garage, Validated",No,No,Yes,Casual,Classy,Average,Full Bar,No,No,No,Yes,No,
1403,Bernal Heights Hill Wide Garage Sale,http://www.yelp.com/ /biz/bernal-heights-hill-wide-garage-sale-san-francisco,"Local Flavor,Shopping",Pricey,5.0 star rating,,,,,,,,"Bernal Heights BlvdSan Francisco, CA 94110",,,,,No,,,,Yes,Yes,,,,,,,,,,,
1404,Piperade,http://www.yelp.com/ /biz/piperade-san-francisco,"Spanish,Basque",$31-60,4.0 star rating,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,5:30 pm-10:00 pm,Closed,"1015 Battery StSan Francisco, CA 94111",(415) 391-2555,Yes,No,No,Yes,,Dinner,Street,Yes,No,Yes,Dressy,,Average,Full Bar,Yes,No,No,Yes,Yes,
1405,Tailored Salon,http://www.yelp.com/ /biz/tailored-salon-san-francisco,Hair Stylists,Pricey,5.0 star rating,9:00 am-8:00 pm,9:00 am-6:00 pm,9:00 am-8:00 pm,9:00 am-8:00 pm,9:00 am-8:00 pm,9:00 am-8:00 pm,Closed,"266 Sutter StSan Francisco, CA 94108",(415) 851-3930,,,,Yes,No,,Street,Yes,No,,,,,,,,,,,
1406,Thanh Long,http://www.yelp.com/ /biz/thanh-long-san-francisco,"Seafood,Vietnamese",$31-60,4.0 star rating,Closed,5:00 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-9:00 pm,5:00 pm-9:30 pm,5:00 pm-9:30 pm,5:00 pm-9:00 pm,"4101 Judah StSan Francisco, CA 94122",(415) 665-1146,Yes,No,Yes,Yes,No,Dinner,Street,No,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,No,Yes,No,
1407,Da Flora-A Venetian Osteria,http://www.yelp.com/ /biz/da-flora-a-venetian-osteria-san-francisco,Italian,$31-60,4.0 star rating,Closed,6:00 pm-9:30 pm,6:00 pm-9:30 pm,6:00 pm-9:30 pm,6:00 pm-9:30 pm,6:00 pm-9:30 pm,Closed,"701 Columbus AveSan Francisco, CA 94133",(415) 981-4664,Yes,No,No,Yes,,Dinner,Street,Yes,No,No,Casual,Intimate,Average,Beer & Wine Only,No,No,No,Yes,No,
1408,La Mar Cebichería Peruana,http://www.yelp.com/ /biz/la-mar-cebicher%C3%ADa-peruana-san-francisco-4,"Latin American,Seafood,Peruvian",$31-60,4.0 star rating,11:30 am-2:30 pm5:30 pm-9:30 pm,11:30 am-2:30 pm5:30 pm-9:30 pm,11:30 am-2:30 pm5:30 pm-9:30 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-9:30 pm,"Pier 1 1/2 The EmbarcaderoSan Francisco, CA 94111",(415) 397-8880,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Average,Full Bar,Yes,Free,No,Yes,No,
1409,Mission Bicycle,http://www.yelp.com/ /biz/mission-bicycle-san-francisco,"Bikes,Bike Rentals",Pricey,4.5 star rating,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,Closed,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-6:00 pm,"766 Valencia StSan Francisco, CA 94110",(415) 683-6166,,,,Yes,,,Street,Yes,Yes,,,,,,,,,,,
1410,Greens Restaurant,http://www.yelp.com/ /biz/greens-restaurant-san-francisco-3,"Vegetarian,Vegan,Gluten-Free",$31-60,4.0 star rating,5:30 pm-9:00 pm,12:00 pm-2:30 pm5:30 pm-9:00 pm,12:00 pm-2:30 pm5:30 pm-9:00 pm,12:00 pm-2:30 pm5:30 pm-9:00 pm,12:00 pm-2:30 pm5:30 pm-9:00 pm,11:00 am-2:30 pm5:30 pm-9:00 pm,10:30 am-2:00 pm5:30 pm-9:00 pm,"Fort MasonSan Francisco, CA 94123",(415) 771-6222,Yes,No,Yes,Yes,No,Dinner,Private Lot,Yes,No,Yes,Casual,Classy,Average,Beer & Wine Only,No,No,No,Yes,Yes,
