id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,reservations,delivery,takeout,creditCard,applePay,goodFor,parking,bikeParking,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,outdoorSeating,wifi,hasTV,waiterService,caters,driveThrough
962,Noeteca,https://www.yelp.com/ /biz/noeteca-san-francisco,"Wine Bars,Cafes",$11-30,4.0 star rating,9:00 am-10:00 pm,Closed,9:00 am-10:00 pm,9:00 am-10:00 pm,9:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-8:00 pm,"1551 Dolores StSan Francisco, CA 94110",(415) 824-5524,Yes,No,Yes,Yes,No,Lunch,Street,Yes,No,No,Casual,Intimate,Average,Beer & Wine Only,Yes,No,No,Yes,No,
963,Higher Grounds Coffee House,https://www.yelp.com/ /biz/higher-grounds-coffee-house-san-francisco,"Coffee & Tea,Creperies,Breakfast & Brunch",$11-30,4.5 star rating,8:00 am-5:00 pm,8:00 am-5:00 pm,8:00 am-5:00 pm,8:00 am-5:00 pm,8:00 am-5:00 pm,8:00 am-5:00 pm,8:00 am-5:00 pm,"691 Chenery StSan Francisco, CA 94131",(415) 587-2933,No,No,Yes,No,No,"Breakfast, Brunch",Street,Yes,Yes,No,Casual,Casual,Average,No,Yes,No,No,No,No,
964,De Afghanan Kabob House,https://www.yelp.com/ /biz/de-afghanan-kabob-house-san-francisco-2,"Afghan,Middle Eastern",$11-30,4.5 star rating,Closed,11:30 am-3:00 pm5:00 pm-9:30 pm,11:30 am-3:00 pm5:00 pm-9:30 pm,11:30 am-3:00 pm5:00 pm-9:30 pm,11:30 am-3:00 pm5:00 pm-10:00 pm,11:30 am-3:00 pm4:00 pm-10:00 pm,11:30 am-3:00 pm4:00 pm-9:30 pm,"1035 Geary StSan Francisco, CA 94109",(415) 929-1124,No,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,Yes,No,
965,Mission Beach Cafe,https://www.yelp.com/ /biz/mission-beach-cafe-san-francisco-4,"American (New),Breakfast & Brunch",$11-30,4.0 star rating,7:00 am-10:00 pm,7:00 am-10:00 pm,7:00 am-10:00 pm,7:00 am-10:00 pm,7:00 am-11:00 pm,9:00 am-11:00 pm,9:00 am-6:00 pm,"198 Guerrero StSan Francisco, CA 94103",(415) 861-0198,Yes,No,Yes,Yes,No,Brunch,Street,Yes,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
966,Urban Putt,https://www.yelp.com/ /biz/urban-putt-san-francisco,"Mini Golf,American (New),Bars",$11-30,4.0 star rating,4:00 pm-12:00 am,4:00 pm-12:00 am,4:00 pm-12:00 am,4:00 pm-12:00 am,4:00 pm-1:00 am,11:00 am-1:00 am,11:00 am-12:00 am,"1096 S Van Ness AveSan Francisco, CA 94110",(415) 341-1080,Yes,No,No,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,"Hipster, Casual",Loud,Full Bar,No,Free,Yes,Yes,No,
967,Lavash,https://www.yelp.com/ /biz/lavash-san-francisco,Persian/Iranian,$11-30,4.0 star rating,Closed,11:30 am-3:00 pm5:00 pm-10:00 pm,11:30 am-3:00 pm5:00 pm-10:00 pm,11:30 am-3:00 pm5:00 pm-10:00 pm,11:30 am-3:00 pm5:00 pm-10:00 pm,11:30 am-10:00 pm,11:30 am-9:00 pm,"511 Irving StSan Francisco, CA 94122",(415) 664-5555,Yes,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Intimate,Average,Beer & Wine Only,No,No,No,Yes,Yes,
968,Tara Indian Cuisine,https://www.yelp.com/ /biz/tara-indian-cuisine-san-francisco,Indian,$11-30,4.5 star rating,10:30 am-10:00 pm,10:30 am-10:30 pm,11:30 am-10:30 pm,10:30 am-10:30 pm,10:30 am-10:30 pm,10:30 am-10:30 pm,10:30 am-10:30 pm,"2217 Market StSan Francisco, CA 94114",(415) 861-6655,Yes,Yes,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Intimate,Quiet,Beer & Wine Only,No,No,Yes,Yes,No,
969,Lunchpad,https://www.yelp.com/ /biz/lunchpad-san-francisco,"Sandwiches,Comfort Food,Breakfast & Brunch",$11-30,4.5 star rating,9:00 am-2:30 pm,9:00 am-2:30 pm,9:00 am-2:30 pm,9:00 am-2:30 pm,9:00 am-2:30 pm,11:00 am-2:30 pm,11:00 am-2:30 pm,"581 Hayes StSan Francisco, CA 94102",(415) 522-6647,Yes,No,Yes,Yes,Yes,Lunch,Street,Yes,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,No,Yes,
970,Birba,https://www.yelp.com/ /biz/birba-san-francisco,"Wine Bars,American (New),Italian",$11-30,4.5 star rating,5:00 pm-9:00 pm,12:00 pm-3:00 pm5:00 pm-10:00 pm,12:00 pm-3:00 pm5:00 pm-10:00 pm,12:00 pm-3:00 pm5:00 pm-10:00 pm,12:00 pm-10:00 pm,3:00 pm-10:00 pm,Closed,"458 Grove StSan Francisco, CA 94102",(415) 549-7612,No,No,No,Yes,,,Street,Yes,No,No,Casual,,Average,Beer & Wine Only,No,,No,,,
971,Artis Coffee,https://www.yelp.com/ /biz/artis-coffee-san-francisco-3,Coffee & Tea,Moderate,4.5 star rating,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,8:00 am-6:00 pm,"537 Octavia StSan Francisco, CA 94102",(415) 655-3576,,,Yes,Yes,No,,Street,Yes,,,,,,,Yes,Free,,,,
972,Kitchen Story,https://www.yelp.com/ /biz/kitchen-story-san-francisco,"Breakfast & Brunch,Asian Fusion,American (New)",$11-30,4.0 star rating,8:00 am-3:00 pm5:00 pm-10:00 pm,8:00 am-3:00 pm5:00 pm-10:00 pm,8:00 am-3:00 pm5:00 pm-10:00 pm,8:00 am-3:00 pm5:00 pm-10:00 pm,8:00 am-3:00 pm5:00 pm-10:30 pm,8:00 am-3:00 pm5:00 pm-10:30 pm,8:00 am-3:00 pm5:00 pm-10:00 pm,"3499 16th StSan Francisco, CA 94114",(415) 525-4905,Yes,Yes,Yes,Yes,No,Brunch,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,Yes,Yes,
973,Craftsman and Wolves,https://www.yelp.com/ /biz/craftsman-and-wolves-san-francisco,"Bakeries,Cafes,Patisserie/Cake Shop",$11-30,4.0 star rating,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,8:00 am-6:00 pm,8:00 am-6:00 pm,"746 Valencia StSan Francisco, CA 94110",(415) 913-7713,No,No,Yes,Yes,No,"Breakfast, Brunch",Street,Yes,Yes,Yes,Casual,Hipster,Average,Beer & Wine Only,Yes,No,No,No,Yes,
974,Oasis Cafe,https://www.yelp.com/ /biz/oasis-cafe-san-francisco-3,"Ethiopian,Gluten-Free,Vegetarian",$11-30,4.5 star rating,6:00 am-9:30 pm,6:00 am-9:30 pm,6:00 am-9:30 pm,6:00 am-9:30 pm,6:00 am-9:30 pm,6:00 am-9:30 pm,6:00 am-9:30 pm,"901 Divisadero StSan Francisco, CA 94115",(415) 474-4900,Yes,No,Yes,Yes,No,"Breakfast, Brunch, Lunch, Dinner",Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,Yes,No,
975,Nara Restaurant &amp; Sake Bar,https://www.yelp.com/ /biz/nara-restaurant-and-sake-bar-san-francisco,"Japanese,Sushi Bars",$11-30,4.5 star rating,5:00 pm-11:30 pm,5:00 pm-11:30 pm,5:00 pm-11:30 pm,5:00 pm-11:30 pm,5:00 pm-11:30 pm,5:00 pm-11:30 pm,5:00 pm-11:30 pm,"518 Haight StSan Francisco, CA 94117",(415) 638-6124,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Casual,Loud,Beer & Wine Only,No,Free,Yes,Yes,No,
976,Swirl on Castro,https://www.yelp.com/ /biz/swirl-on-castro-san-francisco,"Beer, Wine & Spirits,Wine Bars",Moderate,4.5 star rating,1:30 pm-8:00 pm,1:30 pm-8:00 pm,1:30 pm-8:00 pm,1:30 pm-8:00 pm,1:30 pm-9:00 pm,12:00 pm-9:00 pm,12:00 pm-8:00 pm,"572 Castro StSan Francisco, CA 94114",(415) 864-2262,No,,,Yes,,,Street,Yes,,Yes,,Trendy,Quiet,Beer & Wine Only,No,,No,,,
977,Hôtel Biron,https://www.yelp.com/ /biz/h%C3%B4tel-biron-san-francisco-2,Wine Bars,Moderate,4.0 star rating,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,5:00 pm-2:00 am,"45 Rose StSan Francisco, CA 94102",(415) 703-0403,No,,,Yes,No,,Street,Yes,,No,,"Casual, Intimate, Romantic",Average,Beer & Wine Only,No,,No,,,
978,Canela Bistro &amp; Wine Bar,https://www.yelp.com/ /biz/canela-bistro-and-wine-bar-san-francisco,"Spanish,Tapas Bars,Wine Bars",$11-30,4.0 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,11:00 am-10:00 pm,"2272 Market StSan Francisco, CA 94114",(415) 552-3000,Yes,No,Yes,Yes,Yes,Dinner,Street,Yes,No,Yes,Casual,Intimate,Average,Beer & Wine Only,Yes,No,No,Yes,No,
979,Mission Picnic,https://www.yelp.com/ /biz/mission-picnic-san-francisco-2,"Sandwiches,Salad",$11-30,4.0 star rating,11:00 am-4:00 pm,11:00 am-4:00 pm,11:00 am-4:00 pm,11:00 am-4:00 pm,11:00 am-4:00 pm,11:00 am-4:00 pm,11:00 am-4:00 pm,"3275 22nd StSan Francisco, CA 94110",(415) 735-3080,No,Yes,Yes,Yes,Yes,Lunch,"Garage, Street",Yes,Yes,No,Casual,Casual,Average,No,No,No,No,No,Yes,
980,Keeva Indian Kitchen,https://www.yelp.com/ /biz/keeva-indian-kitchen-san-francisco,Indian,$11-30,4.5 star rating,Closed,11:00 am-2:30 pm5:00 pm-9:30 pm,11:00 am-2:30 pm5:00 pm-9:30 pm,11:00 am-2:30 pm5:00 pm-9:30 pm,11:00 am-2:30 pm5:00 pm-9:30 pm,11:00 am-2:30 pm5:00 pm-9:30 pm,11:00 am-2:30 pm5:00 pm-9:30 pm,"908 Clement StSan Francisco, CA 94118",(415) 742-4010,No,Yes,Yes,Yes,No,"Lunch, Dinner",Street,No,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,Yes,
981,Resolute,https://www.yelp.com/ /biz/resolute-san-francisco,"Wine Bars,Lounges,Beer, Wine & Spirits",Moderate,4.5 star rating,Closed,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-12:00 am,4:00 pm-1:00 am,4:00 pm-1:00 am,4:00 pm-12:00 am,"678 Geary StSan Francisco, CA 94102",(415) 825-0741,No,,No,Yes,No,,"Garage, Street",No,,Yes,,Intimate,Average,Beer & Wine Only,No,,No,,,
982,CoffeeShop,https://www.yelp.com/ /biz/coffeeshop-san-francisco,Coffee & Tea,Moderate,5.0 star rating,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,"3139 Mission StSan Francisco, CA 94110",(415) 368-3802,,,Yes,Yes,Yes,,"Garage, Street",Yes,,,,,,,Yes,Free,,,Yes,
983,robberbaron,https://www.yelp.com/ /biz/robberbaron-san-francisco,Wine Bars,Moderate,4.5 star rating,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-1:00 am,4:00 pm-1:00 am,Closed,"2032 Polk StSan Francisco, CA 94109",(415) 516-6945,No,,,Yes,,,Street,Yes,,Yes,,Classy,Average,Beer & Wine Only,No,,Yes,,,
984,Chantal Guillon,https://www.yelp.com/ /biz/chantal-guillon-san-francisco-4,"Bakeries,Cafes,Macarons",$11-30,4.5 star rating,8:30 am-6:00 pm,8:30 am-6:00 pm,8:30 am-6:00 pm,8:30 am-6:00 pm,8:30 am-6:00 pm,Closed,Closed,"1309 Howard StSan Francisco, CA 94103",(415) 512-1020,No,Yes,Yes,Yes,Yes,"Brunch, Dessert",Street,No,Yes,Yes,Casual,,Quiet,Beer & Wine Only,No,Free,No,No,Yes,
985,Fat Angel,https://www.yelp.com/ /biz/fat-angel-san-francisco,"Wine Bars,Gastropubs",$11-30,4.0 star rating,4:00 pm-11:00 pm,4:00 pm-12:00 am,4:00 pm-12:00 am,4:00 pm-12:00 am,4:00 pm-1:00 am,4:00 pm-1:00 am,4:00 pm-11:00 pm,"1740 O&#39;Farrell StSan Francisco, CA 94115",(415) 525-3013,No,No,Yes,Yes,No,Dinner,"Garage, Street",Yes,No,No,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,Yes,No,
986,Cafe St. Jorge,https://www.yelp.com/ /biz/cafe-st-jorge-san-francisco,"Coffee & Tea,Breakfast & Brunch",$11-30,4.5 star rating,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-6:00 pm,7:00 am-8:00 pm,8:00 am-5:00 pm,"3438 Mission StSan Francisco, CA 94110",(415) 814-2028,No,No,Yes,Yes,Yes,"Breakfast, Brunch",Street,Yes,Yes,No,Casual,Casual,Average,Beer & Wine Only,No,Free,No,No,Yes,
987,Liquid Gold,https://www.yelp.com/ /biz/liquid-gold-san-francisco,Beer Bar,Moderate,4.5 star rating,3:00 pm-10:00 pm,3:00 pm-10:00 pm,3:00 pm-10:00 pm,3:00 pm-11:00 pm,3:00 pm-12:00 am,2:00 pm-12:00 am,2:00 pm-8:00 pm,"1040 Hyde StSan Francisco, CA 94109",(415) 660-5142,Yes,,,Yes,No,,Street,No,,Yes,,"Casual, Trendy",Average,Beer & Wine Only,No,,Yes,,,
988,Southern Comfort Kitchen,https://www.yelp.com/ /biz/southern-comfort-kitchen-san-francisco,"Food Trucks,Cajun/Creole",$11-30,4.5 star rating,,,,,,,,"San Francisco, CA 94102",(510) 549-6155,No,No,Yes,Yes,Yes,Lunch,,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,No,Yes,
989,Walzwerk,https://www.yelp.com/ /biz/walzwerk-san-francisco,German,$11-30,4.0 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,"381 S Van Ness AveSan Francisco, CA 94103",(415) 551-7181,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,No,Yes,No,
990,Old Jerusalem Restaurant,https://www.yelp.com/ /biz/old-jerusalem-restaurant-san-francisco,"Middle Eastern,Mediterranean,Arabian",$11-30,4.0 star rating,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-9:00 pm,"2976 Mission StSan Francisco, CA 94110",(415) 642-5958,Yes,No,Yes,Yes,No,"Lunch, Dinner",Street,Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,No,Yes,Yes,
991,Rooster &amp; Rice,https://www.yelp.com/ /biz/rooster-and-rice-san-francisco-4,"Chicken Shop,Thai",$11-30,4.5 star rating,11:00 am-8:00 pm,11:00 am-8:00 pm,11:00 am-8:00 pm,11:00 am-8:00 pm,11:00 am-8:00 pm,11:00 am-8:00 pm,Closed,"2211 Filbert StSan Francisco, CA 94123",(415) 776-3647,No,No,Yes,Yes,No,Lunch,Street,Yes,Yes,No,Casual,Casual,Average,No,Yes,No,No,No,No,
992,Eiji,https://www.yelp.com/ /biz/eiji-san-francisco,"Sushi Bars,Japanese",$11-30,4.0 star rating,Closed,11:30 am-1:30 pm5:30 pm-10:00 pm,11:30 am-1:30 pm5:30 pm-10:00 pm,11:30 am-1:30 pm5:30 pm-10:00 pm,11:30 am-1:30 pm5:30 pm-10:00 pm,11:30 am-1:30 pm5:30 pm-10:00 pm,11:30 am-1:30 pm5:30 pm-10:00 pm,"317 Sanchez StSan Francisco, CA 94114",(415) 558-8149,Yes,No,Yes,Yes,,Dinner,Street,Yes,No,No,Casual,Casual,Quiet,Beer & Wine Only,No,No,No,Yes,No,
993,El Buen Comer,https://www.yelp.com/ /biz/el-buen-comer-san-francisco-3,"Mexican,Breakfast & Brunch",$11-30,4.5 star rating,Closed,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-7:00 pm,"3435 Mission StSan Francisco, CA 94110",(415) 817-1542,Yes,No,Yes,Yes,No,"Brunch, Lunch",Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,Yes,Yes,
994,Thai Idea Vegetarian,https://www.yelp.com/ /biz/thai-idea-vegetarian-san-francisco-2,"Vegan,Thai,Vegetarian",$11-30,4.5 star rating,11:00 am-3:00 pm5:00 pm-10:00 pm,11:00 am-3:00 pm5:00 pm-10:00 pm,11:00 am-3:00 pm5:00 pm-10:00 pm,11:00 am-3:00 pm5:00 pm-10:00 pm,11:00 am-3:00 pm5:00 pm-10:30 pm,12:00 pm-10:30 pm,12:00 pm-10:00 pm,"710 Polk StSan Francisco, CA 94109",(415) 440-8344,Yes,No,Yes,Yes,No,"Lunch, Dinner",Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,Yes,
995,Mr Pollo,https://www.yelp.com/ /biz/mr-pollo-san-francisco,American (New),$11-30,4.0 star rating,6:00 pm-10:00 pm,6:00 pm-10:00 pm,6:00 pm-10:00 pm,6:00 pm-10:00 pm,6:00 pm-10:00 pm,6:00 pm-10:00 pm,Closed,"2823 Mission StSan Francisco, CA 94110",(860) 912-9168,Yes,No,No,Yes,No,Dinner,Street,Yes,No,No,Casual,,Average,Beer & Wine Only,No,No,No,Yes,No,
996,Woodhouse Fish Company,https://www.yelp.com/ /biz/woodhouse-fish-company-san-francisco,"Seafood,Fish & Chips",$11-30,4.0 star rating,11:30 am-9:30 pm,11:30 am-9:30 pm,11:30 am-9:30 pm,11:30 am-9:30 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-9:30 pm,"2073 Market StSan Francisco, CA 94114",(415) 437-2722,No,No,Yes,Yes,No,Dinner,Street,Yes,Yes,No,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
997,Benjamin Cooper,https://www.yelp.com/ /biz/benjamin-cooper-san-francisco,Bars,Moderate,4.5 star rating,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,Closed,"398 Geary StSan Francisco, CA 94102",(415) 654-5061,No,,,Yes,No,,Street,Yes,,Yes,,Classy,Average,Full Bar,No,,No,,,
998,August 1 Five,https://www.yelp.com/ /biz/august-1-five-san-francisco,"Indian,Cocktail Bars,Salad",$11-30,4.5 star rating,11:30 am-2:30 pm5:00 pm-9:30 pm,11:30 am-2:30 pm5:00 pm-9:30 pm,11:30 am-2:30 pm5:00 pm-9:30 pm,11:30 am-2:30 pm5:00 pm-9:30 pm,11:30 am-2:30 pm5:00 pm-10:30 pm,11:30 am-2:30 pm5:00 pm-10:30 pm,Closed,"524 Van Ness AveSan Francisco, CA 94102",(415) 771-5900,Yes,No,Yes,Yes,No,Dinner,"Garage, Street",No,Yes,Yes,Casual,Classy,Average,Full Bar,No,No,No,Yes,Yes,
999,Stuffed,https://www.yelp.com/ /biz/stuffed-san-francisco,"American (Traditional),Polish",$11-30,4.5 star rating,Closed,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-10:00 pm,"2788 Mission StSan Francisco, CA 94110",(415) 642-1069,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,Yes,No,
1000,Rusty’s Southern,https://www.yelp.com/ /biz/rustys-southern-san-francisco,"Southern,Breakfast & Brunch,Diners",$11-30,4.5 star rating,Closed,5:00 pm-10:00 pm,5:00 pm-10:00 pm,10:00 am-2:30 pm5:00 pm-10:00 pm,10:00 am-2:30 pm5:00 pm-10:00 pm,10:00 am-2:30 pm5:00 pm-10:00 pm,10:00 am-2:30 pm,"750 Ellis StSan Francisco, CA 94109",(415) 638-6974,Yes,No,Yes,Yes,No,"Brunch, Dinner",Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
1001,Elephant Sushi Golden Gate,https://www.yelp.com/ /biz/elephant-sushi-golden-gate-san-francisco-6,"Sushi Bars,Japanese",$11-30,4.5 star rating,Closed,Closed,11:00 am-2:00 pm,11:00 am-2:00 pm,11:00 am-2:00 pm,Closed,Closed,"380 Golden Gate AveSan Francisco, CA 94102",(415) 359-9001,Yes,No,Yes,Yes,No,Lunch,Street,Yes,No,No,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,Yes,No,
1002,Cafe du Soleil,https://www.yelp.com/ /biz/cafe-du-soleil-san-francisco-4,"French,Salad,Sandwiches",$11-30,4.5 star rating,10:00 am-4:00 pm,10:00 am-4:00 pm,10:00 am-4:00 pm,10:00 am-4:00 pm,10:00 am-4:00 pm,Closed,Closed,"345 3rd StSan Francisco, CA 94107",(415) 699-6154,No,Yes,Yes,Yes,No,Lunch,"Garage, Street",No,No,No,Casual,Casual,Average,No,Yes,Free,No,No,Yes,
1003,Souvla,https://www.yelp.com/ /biz/souvla-san-francisco,"Greek,Mediterranean",$11-30,4.0 star rating,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,"517 Hayes StSan Francisco, CA 94102",(415) 400-5458,No,No,Yes,Yes,Yes,Lunch,Street,Yes,Yes,No,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,No,No,
1004,Wilson &amp; Wilson,https://www.yelp.com/ /biz/wilson-and-wilson-san-francisco,"Lounges,Speakeasies",Moderate,4.5 star rating,Closed,Closed,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,6:00 pm-2:00 am,Closed,"505 Jones StSan Francisco, CA 94102",,Yes,,,Yes,No,,Street,No,,No,,"Intimate, Classy",Quiet,Full Bar,No,,No,,,
1005,Tender,https://www.yelp.com/ /biz/tender-san-francisco-2,Wine Bars,Moderate,4.5 star rating,Closed,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:30 pm-12:00 am,5:30 pm-1:00 am,5:30 pm-1:00 am,3:00 pm-10:00 pm,"854 Geary StSan Francisco, CA 94109",(415) 589-7879,No,,,Yes,No,,Street,No,,Yes,,Intimate,Average,Beer & Wine Only,No,,No,,,
1006,Cafe Europa,https://www.yelp.com/ /biz/cafe-europa-san-francisco,"German,Comfort Food,Polish",$11-30,4.5 star rating,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,"4318 California StSan Francisco, CA 94118",(415) 386-1000,Yes,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,No,Yes,No,
1007,Azucar Lounge,https://www.yelp.com/ /biz/azucar-lounge-san-francisco-4,"Lounges,Mexican,Venues & Event Spaces",$11-30,4.0 star rating,11:30 am-2:30 pm4:00 pm-12:00 am,11:30 am-2:30 pm4:00 pm-12:00 am,11:30 am-2:30 pm4:00 pm-12:00 am,11:30 am-2:30 pm4:00 pm-12:00 am,11:30 am-2:30 pm4:00 pm-2:00 am,4:00 pm-2:00 am,11:30 am-10:00 pm,"299 9th StSan Francisco, CA 94103",(415) 255-2982,Yes,No,Yes,Yes,No,Late Night,Street,Yes,No,Yes,Casual,Casual,Average,Full Bar,No,Free,Yes,Yes,Yes,
1008,Souvla,https://www.yelp.com/ /biz/souvla-san-francisco-3,"Mediterranean,Greek",$11-30,4.5 star rating,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,"531 Divisadero StSan Francisco, CA 94117",(415) 400-5458,No,Yes,Yes,Yes,Yes,"Lunch, Dessert",Street,Yes,Yes,Yes,Casual,"Casual, Trendy",Average,Beer & Wine Only,Yes,No,No,No,No,
1009,Chez Maman,https://www.yelp.com/ /biz/chez-maman-san-francisco-9,"French,Burgers,Creperies",$11-30,4.5 star rating,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,11:30 am-11:00 pm,10:30 am-11:00 pm,10:30 am-11:00 pm,"1401 18th StSan Francisco, CA 94107",(415) 655-9542,No,No,Yes,Yes,No,Dinner,Street,No,No,No,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,Yes,No,No
1010,Rove Kitchen,https://www.yelp.com/ /biz/rove-kitchen-san-francisco,"Burgers,American (Traditional)",$11-30,4.5 star rating,Closed,Closed,Closed,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,11:30 am-2:30 pm5:30 pm-10:00 pm,10:30 am-2:30 pm,"678 Post StSan Francisco, CA 94109",(415) 567-7466,No,No,Yes,Yes,No,Brunch,Street,No,No,No,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,Yes,No,No
1011,The Wine Club,https://www.yelp.com/ /biz/the-wine-club-san-francisco,"Beer, Wine & Spirits,Wine Bars",Moderate,4.5 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-6:00 pm,"953 Harrison StSan Francisco, CA 94107",(415) 512-9086,Yes,,No,Yes,,,Private Lot,Yes,,No,,,Quiet,Beer & Wine Only,No,,No,,,
1012,Beretta,https://www.yelp.com/ /biz/beretta-san-francisco,"Italian,Bars,Pizza",$11-30,4.0 star rating,5:30 pm-1:00 am,5:30 pm-1:00 am,5:30 pm-1:00 am,5:30 pm-1:00 am,5:30 pm-1:00 am,11:00 am-1:00 am,11:00 am-1:00 am,"1199 Valencia StSan Francisco, CA 94110",(415) 695-1199,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Trendy,Loud,Full Bar,Yes,No,No,Yes,No,
1013,Ginza Sushi &amp; Sake,https://www.yelp.com/ /biz/ginza-sushi-and-sake-san-francisco,"Sushi Bars,Japanese",$11-30,4.0 star rating,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,12:00 pm-10:00 pm,"1793 Haight St.San Francisco, CA 94117",(415) 742-0552,Yes,Yes,Yes,Yes,No,"Lunch, Dinner",Street,Yes,Yes,Yes,Casual,"Casual, Trendy",Average,Beer & Wine Only,No,No,Yes,Yes,No,
