id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,reservations,delivery,takeout,creditCard,applePay,goodFor,parking,bikeParking,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,outdoorSeating,wifi,hasTV,waiterService,caters
2286,Reform Club,https://www.yelp.com/ /biz/reform-club-san-francisco,American (New),Above $61,5.0 star rating,Closed,Closed,Closed,Closed,Closed,Closed,6:00 pm-10:00 pm,"2331 Mission StSan Francisco, CA 94110",(415) 689-6446,Yes,No,No,Yes,,,,,No,Yes,Casual,,Average,,No,,No,Yes,
2287,Spectacles for Humans,https://www.yelp.com/ /biz/spectacles-for-humans-san-francisco-2,"Eyewear & Opticians,Fashion",Ultra High-End,4.5 star rating,Closed,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,12:00 pm-5:00 pm,"3862 24th StSan Francisco, CA 94114",(415) 341-0218,,,,Yes,,,Street,Yes,,,,,,,,,,,
2288,66Mint Fine Estate Jewelry,https://www.yelp.com/ /biz/66mint-fine-estate-jewelry-san-francisco,Jewelry,Ultra High-End,5.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,11:00 am-4:00 pm,Closed,"66 Mint StSan Francisco, CA 94103",(415) 982-4402,,,,Yes,,,,No,,,,,,,,,,,
2289,Agent Provocateur,https://www.yelp.com/ /biz/agent-provocateur-san-francisco,"Lingerie,Swimwear,Bridal",Ultra High-End,4.5 star rating,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,12:00 pm-5:00 pm,"54 Geary StSan Francisco, CA 94108",(415) 421-0229,,,,Yes,,,Street,Yes,,,,,,,,,,,
2290,Jai Yun,https://www.yelp.com/ /biz/jai-yun-san-francisco-2,Chinese,Above $61,3.5 star rating,6:30 pm-9:30 pm,6:30 pm-9:30 pm,6:30 pm-9:30 pm,6:30 pm-9:30 pm,6:30 pm-9:30 pm,6:30 pm-9:30 pm,6:30 pm-9:30 pm,"680 Clay StSan Francisco, CA 94111",(415) 981-7438,Yes,No,No,Yes,,Dinner,Street,No,No,Yes,Casual,,Quiet,Beer & Wine Only,No,No,No,Yes,No
2291,The St. Regis San Francisco,https://www.yelp.com/ /biz/the-st-regis-san-francisco-san-francisco,Hotels,Ultra High-End,4.5 star rating,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"125 3rd StreetSan Francisco, CA 94103",(415) 284-4000,,,,Yes,No,,,,,,,,,,,Free,,,
2292,Samuel Scheuer Linens,https://www.yelp.com/ /biz/samuel-scheuer-linens-san-francisco,"Home Decor,Rugs",Ultra High-End,4.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,"340 Sutter StSan Francisco, CA 94108",(415) 392-2813,,,,Yes,,,,No,,,,,,,,,,,
2293,Four Seasons Hotel San Francisco,https://www.yelp.com/ /biz/four-seasons-hotel-san-francisco-san-francisco,Hotels,Ultra High-End,4.5 star rating,6:00 am-5:30 am,6:00 am-5:30 am,6:00 am-5:30 am,6:00 am-5:30 am,6:00 am-5:30 am,6:00 am-5:30 am,6:00 am-5:30 am,"757 Market StSan Francisco, CA 94103",(415) 633-3000,,,,Yes,No,,,,,,,,,,,Paid,,,
2294,Charin,https://www.yelp.com/ /biz/charin-san-francisco,American (New),Above $61,4.0 star rating,,,,,,,,"2124 Folsom StSan Francisco, CA 94110",(415) 439-0982,Yes,No,No,Yes,,,,,No,No,Dressy,,Quiet,,No,,No,Yes,
2295,Villa Taverna,https://www.yelp.com/ /biz/villa-taverna-san-francisco,Italian,Above $61,4.5 star rating,11:30 am-2:00 pm,11:30 am-2:00 pm,11:30 am-2:00 pm,11:30 am-2:00 pm,11:30 am-2:00 pm,Closed,Closed,"27 Hotaling PlSan Francisco, CA 94111",(415) 981-2333,Yes,No,No,Yes,,Lunch,,No,No,Yes,Formal (Jacket Required),,Quiet,Full Bar,No,,No,Yes,
2296,Bespoke Cycles,https://www.yelp.com/ /biz/bespoke-cycles-san-francisco,"Bikes,Bike Repair/Maintenance",Ultra High-End,4.5 star rating,Closed,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,10:00 am-5:00 pm,Closed,"2843 Clay StSan Francisco, CA 94115",(415) 642-5652,,,,Yes,,,Street,Yes,,,,,,,,,,,
2297,Vera Wang,https://www.yelp.com/ /biz/vera-wang-san-francisco,Bridal,Ultra High-End,5.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,"180 Geary StSan Francisco, CA 94108",(415) 400-0370,,,,Yes,No,,"Garage, Street",Yes,,,,,,,,,,,
2298,Mission D&amp;A,https://www.yelp.com/ /biz/mission-d-and-a-san-francisco,Pop-Up Restaurants,Above $61,4.5 star rating,,,,,,,,"2817 24th StSan Francisco, CA 94110",,Yes,No,No,Yes,No,,,Yes,No,Yes,Casual,,Very Loud,Beer & Wine Only,No,No,No,Yes,No
2299,"Scott W Mosser, MD",https://www.yelp.com/ /biz/scott-w-mosser-md-san-francisco-4,"Cosmetic Surgeons,Medical Spas",Ultra High-End,4.5 star rating,9:00 am-5:30 pm,9:00 am-5:30 pm,9:00 am-5:30 pm,9:00 am-5:30 pm,9:00 am-5:30 pm,Closed,Closed,"450 Sutter StSan Francisco, CA 94108",(415) 398-7778,,,,Yes,,,,,,,,,,,,,,,
2300,Bulgari,https://www.yelp.com/ /biz/bulgari-san-francisco,"Jewelry,Watches,Bridal",Ultra High-End,4.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"200 Stockton StSan Francisco, CA 94108",(415) 399-9141,,,,Yes,,,Street,Yes,,,,,,,,,,,
2301,SF Moto,https://www.yelp.com/ /biz/sf-moto-san-francisco,"Motorcycle Dealers,Motorcycle Repair,Motorcycle Gear",Ultra High-End,4.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"275 8th StSan Francisco, CA 94103",(415) 255-3132,,,,Yes,,,,Yes,,,,,,,,,,,
2302,San Francisco Art Exchange,https://www.yelp.com/ /biz/san-francisco-art-exchange-san-francisco,Art Galleries,Ultra High-End,4.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,"458 Geary StSan Francisco, CA 94102",(415) 441-8840,,,,Yes,,,"Garage, Street",Yes,No,,,,,,,,,,
2303,Khai,https://www.yelp.com/ /biz/khai-san-francisco,Vietnamese,Above $61,4.5 star rating,Closed,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,Closed,"655 Townsend StSan Francisco, CA 94103",(415) 724-2325,Yes,No,No,Yes,,Dinner,Street,Yes,No,No,Dressy,Classy,Quiet,Beer & Wine Only,No,No,No,Yes,No
2304,Music Lovers Audio &amp; Video,https://www.yelp.com/ /biz/music-lovers-audio-and-video-san-francisco,"Electronics,Home Theatre Installation",Ultra High-End,4.5 star rating,10:30 am-6:30 pm,10:30 am-6:30 pm,Closed,10:30 am-6:30 pm,10:30 am-6:30 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,,(415) 345-8111,,,,Yes,,,"Street, Private Lot",Yes,,,,,,,,,,,
2305,Velvet Da Vinci,https://www.yelp.com/ /biz/velvet-da-vinci-san-francisco,Art Galleries,Ultra High-End,4.5 star rating,Closed,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-4:00 pm,"2015 Polk StSan Francisco, CA 94109",(415) 441-0109,,,,Yes,,,Street,Yes,No,,,,,,,,,,
2306,J. Roland,https://www.yelp.com/ /biz/j-roland-san-francisco,"Hair Salons,Barbers",Ultra High-End,4.5 star rating,Closed,9:00 am-6:00 pm,9:00 am-6:00 pm,9:00 am-6:00 pm,9:00 am-6:00 pm,9:00 am-6:00 pm,Closed,"161 Sutter StSan Francisco, CA 94108",(415) 392-2969,,,,Yes,,,,,No,,,,,,,,,,
2307,Babu Ji,https://www.yelp.com/ /biz/babu-ji-san-francisco,Indian,Above $61,3.5 star rating,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,Closed,"280 Valencia StSan Francisco, CA 94103",(415) 525-4857,Yes,No,No,Yes,No,Dinner,Street,No,No,Yes,Casual,"Hipster, Trendy",Average,Full Bar,No,,No,Yes,
2308,The Archive,https://www.yelp.com/ /biz/the-archive-san-francisco,"Men's Clothing,Leather Goods,Jewelry",Ultra High-End,4.5 star rating,10:30 am-6:30 pm,10:30 am-6:30 pm,10:30 am-6:30 pm,10:30 am-6:30 pm,10:30 am-6:30 pm,10:30 am-6:30 pm,Closed,"317 Sutter StSan Francisco, CA 94108",(415) 391-5550,,,,Yes,Yes,,"Garage, Street",No,,,,,,,,,,,
2309,"The Ritz-Carlton, San Francisco",https://www.yelp.com/ /biz/the-ritz-carlton-san-francisco-san-francisco-2,"Hotels,Venues & Event Spaces",Ultra High-End,4.0 star rating,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"600 Stockton StSan Francisco, CA 94108",(415) 296-7465,,,,Yes,No,,,,,,,,,,,Paid,,,
2310,Remède Spa,https://www.yelp.com/ /biz/rem%C3%A8de-spa-san-francisco-2,"Day Spas,Massage",Ultra High-End,4.0 star rating,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,9:00 am-9:00 pm,9:00 am-9:00 pm,10:00 am-7:00 pm,"125 3rd StSan Francisco, CA 94103",(415) 284-4060,,,,Yes,,,"Valet, Garage",Yes,,,,,,,,,,,
2311,Bottega Veneta,https://www.yelp.com/ /biz/bottega-veneta-san-francisco,Leather Goods,Ultra High-End,4.5 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,12:00 pm-6:00 pm,"108 Geary StSan Francisco, CA 94108",(415) 981-1700,,,,Yes,,,Street,Yes,,,,,,,,,,,
2312,Le Labo,https://www.yelp.com/ /biz/le-labo-san-francisco,Cosmetics & Beauty Supply,Ultra High-End,4.0 star rating,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-6:00 pm,"2238 Fillmore StSan Francisco, CA 94115",(415) 931-3212,,,,Yes,No,,Street,Yes,,,,,,,,,,,
2313,DZINE,https://www.yelp.com/ /biz/dzine-san-francisco,"Furniture Stores,Interior Design,Home Decor",Ultra High-End,4.5 star rating,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,10:00 am-5:00 pm,Closed,,(628) 400-6016,,,,Yes,No,,Street,Yes,,,,,,,,,,,
2314,PS Cleaners,https://www.yelp.com/ /biz/ps-cleaners-san-francisco,Dry Cleaning & Laundry,Ultra High-End,4.5 star rating,8:00 am-7:00 pm,8:00 am-7:00 pm,8:00 am-7:00 pm,8:00 am-7:00 pm,8:00 am-7:00 pm,8:30 am-6:00 pm,Closed,"1148 Irving StSan Francisco, CA 94122",(415) 681-7747,,,,No,,,,,,,,,,,,No,,,
2315,Sterling Art Services,https://www.yelp.com/ /biz/sterling-art-services-san-francisco,"Framing,Art Galleries",Ultra High-End,5.0 star rating,9:00 am-5:30 pm,9:00 am-5:30 pm,9:00 am-5:30 pm,9:00 am-5:30 pm,9:00 am-5:30 pm,11:00 am-2:00 pm,Closed,"42 Norfolk StSan Francisco, CA 94103",(415) 863-5800,,,,Yes,,,Street,Yes,Yes,,,,,,,,,,
2316,HAND in HAND Custom Jewelry Design,https://www.yelp.com/ /biz/hand-in-hand-custom-jewelry-design-san-francisco-2,"Jewelry,Bridal",Ultra High-End,5.0 star rating,10:00 am-8:00 pm,Closed,Closed,Closed,Closed,Closed,10:00 am-8:00 pm,"3150 18th StSan Francisco, CA 94110",(415) 282-4370,,,,Yes,,,,,,,,,,,,,,,
2317,Herve Leger,https://www.yelp.com/ /biz/herve-leger-san-francisco,Women's Clothing,Ultra High-End,4.5 star rating,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,11:00 am-6:00 pm,"331 Powell StSan Francisco, CA 94102",(415) 284-9168,,,,Yes,,,Garage,Yes,,,,,,,,,,,
2318,Contractors Appliance Source,https://www.yelp.com/ /biz/contractors-appliance-source-san-francisco,Appliances,Ultra High-End,4.5 star rating,,,,,,,,"3460 Geary BlvdSan Francisco, CA 94118",(415) 668-8484,,,,Yes,,,Street,Yes,,,,,,,,,,,
2319,McRoskey Mattress Company,https://www.yelp.com/ /biz/mcroskey-mattress-company-san-francisco,"Furniture Stores,Mattresses",Ultra High-End,4.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"1687 Market StSan Francisco, CA 94103",(415) 861-4532,,,,Yes,,,Private Lot,No,,,,,,,,,,,
2320,Vendetta Mens Apparel &amp; Vintage Cuban Cigars,https://www.yelp.com/ /biz/vendetta-mens-apparel-and-vintage-cuban-cigars-san-francisco,"Tobacco Shops,Men's Clothing",Ultra High-End,5.0 star rating,Closed,12:30 pm-7:00 pm,12:30 pm-7:00 pm,12:30 pm-7:00 pm,12:30 pm-7:00 pm,12:30 pm-7:00 pm,Closed,"950 Mason StSan Francisco, CA 94108",(415) 397-7755,,,,Yes,,,"Garage, Street",Yes,,,,,,,,,,,
2321,John Pence Gallery,https://www.yelp.com/ /biz/john-pence-gallery-san-francisco,Art Galleries,Ultra High-End,5.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-5:00 pm,Closed,"750 Post StreetSan Francisco, CA 94109",(415) 441-1138,,,,Yes,,,,,No,,,,,,,,,,
2322,Rimowa,https://www.yelp.com/ /biz/rimowa-san-francisco,Luggage,Ultra High-End,5.0 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-6:00 pm,"259 Post StSan Francisco, CA 94108",(415) 230-2688,,,,Yes,,,,Yes,,,,,,,,,,,
2323,AudioVision,https://www.yelp.com/ /biz/audiovision-san-francisco-2,"Electronics,High Fidelity Audio Equipment",Ultra High-End,4.0 star rating,11:00 am-7:00 pm,Closed,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-6:00 pm,12:00 pm-6:00 pm,"1628 California StSan Francisco, CA 94109",(415) 915-9855,,,,Yes,No,,"Garage, Street",No,,,,,,,,,,,
2324,Pacific Heights Plastic Surgery,https://www.yelp.com/ /biz/pacific-heights-plastic-surgery-san-francisco,"Cosmetic Surgeons,Skin Care,Medical Spas",Ultra High-End,4.0 star rating,8:00 am-4:30 pm,8:00 am-4:30 pm,8:00 am-4:30 pm,8:00 am-4:30 pm,8:00 am-4:30 pm,Closed,Closed,"2100 Webster StSan Francisco, CA 94115",(415) 923-3005,,,,Yes,,,"Garage, Street",Yes,,,,,,,,,,,
2325,Lisa Lefkowitz Photography,https://www.yelp.com/ /biz/lisa-lefkowitz-photography-san-francisco,"Photography Stores & Services,Photographers",Ultra High-End,5.0 star rating,,,,,,,,"3516 Sacramento StSan Francisco, CA 94118",(415) 826-9330,,,,Yes,,,,,,,,,,,,,,,
2326,Southern Exposure,https://www.yelp.com/ /biz/southern-exposure-san-francisco,"Art Galleries,Community Service/Non-Profit",Ultra High-End,4.5 star rating,Closed,12:00 pm-6:00 pm,12:00 pm-6:00 pm,12:00 pm-6:00 pm,12:00 pm-6:00 pm,12:00 pm-6:00 pm,Closed,"3030 20th StSan Francisco, CA 94110",(415) 863-2141,,,,Yes,,,Street,Yes,,,,,,,,,,,
2327,Le Sanctuaire,https://www.yelp.com/ /biz/le-sanctuaire-san-francisco-3,Kitchen & Bath,Ultra High-End,4.5 star rating,10:30 am-4:30 pm,10:30 am-4:30 pm,10:30 am-4:30 pm,10:30 am-4:30 pm,10:30 am-4:30 pm,Closed,Closed,"315 Sutter StSan Francisco, CA 94108",(415) 986-4216,,,,Yes,,,Street,,,,,,,,,,,,
2328,FRJ Lashes,https://www.yelp.com/ /biz/frj-lashes-san-francisco,"Eyelash Service,Waxing",Ultra High-End,5.0 star rating,9:00 am-6:00 pm,9:00 am-6:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,"1007 Sutter StSan Francisco, CA 94109",(415) 596-2896,,,,Yes,,,"Garage, Street",Yes,,,,,,,,,,,
2329,Leica Store,https://www.yelp.com/ /biz/leica-store-san-francisco,Photography Stores & Services,Ultra High-End,4.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-4:00 pm,Closed,"463 Bush StSan Francisco, CA 94108",(415) 801-5066,,,,Yes,,,Garage,Yes,,,,,,,,,,,
2330,Beneduci Shoemakers,https://www.yelp.com/ /biz/beneduci-shoemakers-san-francisco,Shoe Stores,Ultra High-End,5.0 star rating,Closed,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,Closed,"797 San Jose AveSan Francisco, CA 94110",(415) 742-0005,,,,Yes,,,Street,Yes,,,,,,,,,,,
2331,Tourbillon Boutique,https://www.yelp.com/ /biz/tourbillon-boutique-san-francisco,"Watches,Jewelry",Ultra High-End,5.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"231 Post StSan Francisco, CA 94108",(415) 362-1525,,,,Yes,,,,Yes,,,,,,,,,,,
2332,San Francisco Art Institute,https://www.yelp.com/ /biz/san-francisco-art-institute-san-francisco,"Colleges & Universities,Art Schools,Art Galleries",Ultra High-End,4.0 star rating,,,,,,,,"800 Chestnut StSan Francisco, CA 94133",(415) 771-7020,,,,Yes,,,Street,Yes,Yes,,,,,,,,,,
2333,Precita Market &amp; Deli,https://www.yelp.com/ /biz/precita-market-and-deli-san-francisco,"Convenience Stores,Delis",Above $61,3.5 star rating,9:00 am-10:00 pm,9:00 am-10:00 pm,9:00 am-10:00 pm,9:00 am-10:00 pm,9:00 am-10:00 pm,9:00 am-10:00 pm,9:00 am-10:00 pm,"35 Precita AveSan Francisco, CA 94110",(415) 821-2113,No,Yes,,Yes,,,Street,,Yes,Yes,,,,Full Bar,No,No,No,No,No
2334,Tiffany &amp; Co,https://www.yelp.com/ /biz/tiffany-and-co-san-francisco-2,Jewelry,Ultra High-End,3.5 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"350 Post StSan Francisco, CA 94108",(415) 781-7000,,,,Yes,No,,Garage,Yes,,,,,,,,,,,
2335,SF Bridal Makeup,https://www.yelp.com/ /biz/sf-bridal-makeup-san-francisco-2,"Makeup Artists,Hair Stylists",Ultra High-End,5.0 star rating,Closed,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-6:00 pm,"161 Gilbert StSan Francisco, CA 94103",(415) 606-4492,,,,Yes,,,,,Yes,,,,,,,,,,
2336,Marina Morrison,https://www.yelp.com/ /biz/marina-morrison-san-francisco,"Bridal,Accessories",Ultra High-End,4.0 star rating,Closed,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,"30 Maiden LnSan Francisco, CA 94108",(415) 984-9360,,,,Yes,No,,Garage,No,,,,,,,,,,,
2337,Mill Mercantile,https://www.yelp.com/ /biz/mill-mercantile-san-francisco,"Women's Clothing,Home Decor,Children's Clothing",Ultra High-End,4.0 star rating,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,10:00 am-6:00 pm,11:00 am-5:00 pm,"3751 24th StSan Francisco, CA 94114",(415) 401-8920,,,,Yes,,,Street,Yes,,,,,,,,,,,
2338,Chanel Boutique,https://www.yelp.com/ /biz/chanel-boutique-san-francisco,"Women's Clothing,Accessories,Cosmetics & Beauty Supply",Ultra High-End,3.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"156 Geary StSan Francisco, CA 94108",(415) 981-1550,,,,Yes,No,,Garage,No,,,,,,,,,,,
2339,Eric Ripert@Aqua,https://www.yelp.com/ /biz/eric-ripert-aqua-san-francisco-2,Seafood,Above $61,4.5 star rating,,,,,,,,"252 California StSan Francisco, CA 94111",(415) 956-9662,Yes,No,,Yes,,,,,No,Yes,Dressy,,,Full Bar,No,,No,Yes,
2340,Saks Fifth Avenue Men’s Store,https://www.yelp.com/ /biz/saks-fifth-avenue-mens-store-san-francisco-5,Men's Clothing,Ultra High-End,4.0 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,12:00 pm-7:00 pm,"384 Post StSan Francisco, CA 94108",(415) 986-4300,,,,Yes,,,Garage,No,,,,,,,,,,,
2341,Dottie Doolittle,https://www.yelp.com/ /biz/dottie-doolittle-san-francisco,"Children's Clothing,Toy Stores",Ultra High-End,4.0 star rating,9:30 am-6:00 pm,9:30 am-6:00 pm,9:30 am-6:00 pm,9:30 am-6:00 pm,9:30 am-6:00 pm,9:30 am-6:00 pm,12:00 pm-5:00 pm,"3680 Sacramento StSan Francisco, CA 94118",(415) 563-3244,,,,Yes,,,Street,Yes,,,,,,,,,,,
2342,Roche-Bobois,https://www.yelp.com/ /biz/roche-bobois-san-francisco-3,Furniture Stores,Ultra High-End,4.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"701 8th StSan Francisco, CA 94103",(415) 626-8613,,,,Yes,,,Street,Yes,,,,,,,,,,,
2343,Weinstein Gallery,https://www.yelp.com/ /biz/weinstein-gallery-san-francisco,Art Galleries,Ultra High-End,4.5 star rating,,,,,,,,"383 Geary StSan Francisco, CA 94102",(415) 362-8151,,,,Yes,,,,No,No,,,,,,,,,,
2344,"Fairmont Heritage Place, Ghirardelli Square",https://www.yelp.com/ /biz/fairmont-heritage-place-ghirardelli-square-san-francisco-2,Hotels,Ultra High-End,4.5 star rating,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"900 North PointSan Francisco, CA 94109",(415) 268-9900,,,,Yes,,,,,,,,,,,,Free,,,
2345,Jimmy Choo,https://www.yelp.com/ /biz/jimmy-choo-san-francisco-2,Women's Clothing,Ultra High-End,4.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"164 Geary StSan Francisco, CA 94108",(415) 391-3300,,,,Yes,No,,Street,Yes,,,,,,,,,,,
2346,EZ Brow &amp; Beauty,https://www.yelp.com/ /biz/ez-brow-and-beauty-san-francisco,"Skin Care,Waxing,Threading Services",Ultra High-End,4.0 star rating,Closed,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,"1820 Fillmore stSan Francisco, CA 94115",(415) 849-6080,,,,Yes,,,"Garage, Street",No,,,,,,,,,,,
2347,RTB Fillmore,https://www.yelp.com/ /biz/rtb-fillmore-san-francisco,"American (Traditional),Asian Fusion,Pop-Up Restaurants",Above $61,4.5 star rating,5:30 pm-9:00 pm,Closed,Closed,Closed,5:30 pm-9:00 pm,5:30 pm-9:00 pm,5:30 pm-9:00 pm,"71 Stevenson StSan Francisco, CA 94105",,Yes,No,No,Yes,Yes,,,Yes,Yes,No,Casual,,Average,Beer & Wine Only,No,Free,No,Yes,Yes
2348,Taylor Pham,https://www.yelp.com/ /biz/taylor-pham-san-francisco,"Makeup Artists,Hair Salons",Ultra High-End,5.0 star rating,,,,,,,,"San Francisco, CA",,,,,No,,,,,,,,,,,,,,,
2349,Christian Louboutin,https://www.yelp.com/ /biz/christian-louboutin-san-francisco,Shoe Stores,Ultra High-End,4.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"29 Maiden LaneSan Francisco, CA 94108",(415) 658-9079,,,,Yes,Yes,,Street,No,,,,,,,,,,,
2350,Cherish Yourself Massage Services,https://www.yelp.com/ /biz/cherish-yourself-massage-services-san-francisco,Massage,Ultra High-End,5.0 star rating,Closed,9:00 am-1:00 pm3:00 pm-8:00 pm,Closed,9:00 am-1:00 pm3:00 pm-8:00 pm,9:00 am-1:00 pm3:00 pm-8:00 pm,12:00 pm-1:30 pm2:30 pm-8:00 pm,Closed,"4248 - 20th StSan Francisco, CA 94114",(415) 875-9510,,,,Yes,,,Street,,,,,,,,,,,,
2351,Le Point,https://www.yelp.com/ /biz/le-point-san-francisco,"Women's Clothing,Men's Clothing,Accessories",Ultra High-End,4.5 star rating,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,10:00 am-7:00 pm,"301 Valencia StSan Francisco, CA 94103",(415) 400-4275,,,,Yes,,,Street,,,,,,,,,,,,
2352,Neiman Marcus,https://www.yelp.com/ /biz/neiman-marcus-san-francisco,"Men's Clothing,Women's Clothing,Shoe Stores",Ultra High-End,3.5 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-8:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,12:00 pm-6:00 pm,"150 Stockton StSan Francisco, CA 94108",(415) 362-3900,,,,Yes,No,,Street,No,,,,,,,,,,,
