_id,ltable_id,rtable_id,ltable_title,ltable_cuisine,ltable_phone,ltable_feature,ltable_zipcode,ltable_street_addr,rtable_title,rtable_cuisine,rtable_phone,rtable_feature,rtable_zipcode,rtable_street_addr,gold
1474,2461,670,working girls cafe,,4154958985,,94105,"100 spear st,ste 140",working girls‰Û¡ÌÝå» cafe," sandwiches,salad,breakfast & brunch",4153981390,"delivery, takeout, creditcard, bikeparking, goodforkids, outdoorseating, caters",94108,259 kearny st,0
1484,2478,1049,notes from underground,,4157757638,,94109,2399 van ness ave,san jalisco, mexican,4156488383,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice, caters",94110,901 s van ness ave,0
1511,2478,574,notes from underground,,4157757638,,94109,2399 van ness ave,stoner‰Û¡ÌÝå»s, delis,4159137753,"takeout, creditcard, bikeparking, goodforkids, goodforgroups",94102,752 van ness ave,0
1531,2495,1261,route 101,,4154746092,,94109,1332 van ness ave,house of prime rib," american (traditional),steakhouses",4158854605,"reservations, creditcard, goodforkids, goodforgroups, waiterservice",94109,1906 van ness ave,0
1584,2498,2252,the pizza room,,2242412459,,94109,2107 van ness ave,harris‰Û¡ÌÝå» restaurant, steakhouses,4156731888,"reservations, creditcard, goodforgroups, waiterservice",94109,2100 van ness ave,0
1590,2498,492,the pizza room,,2242412459,,94109,2107 van ness ave,the little spot cafe," coffee & tea,bagels,sandwiches",4155501800,"takeout, creditcard, bikeparking, goodforkids, outdoorseating, waiterservice",94110,1199 s van ness ave,0
1656,2525,128,clare's deli & late night kitchen, delicatessen,4156213505,,94110,3505 17th st,turner‰Û¡ÌÝå»s kitchen," sandwiches,soup,salad",4156213505,"takeout, creditcard, bikeparking, goodforkids, outdoorseating, caters",94110,3505 b 17th st,0
1704,2573,2279,cafe at the opera,,4158618150," reservations, seating, waitstaff",94102,301 van ness ave,"larry fan, md | 77 plastic surgery"," cosmetic surgeons,medical spas,skin care",4156557546,"creditcard, bikeparking",94102,77 van ness ave,0
1758,2627,493,hong kee & kim, chinese,4159891168,,94111,91 drumm st fl 2,oasis grill," greek,mediterranean,american (traditional)",4157810313,"takeout, creditcard, bikeparking, goodforkids, caters",94111,91 drumm st,0
1779,2646,946,san francisco soup company," soups,american,fast food",," takeout, seating",94104,50 post st,t-we tea," tea rooms,coffee & tea",4155002097,"takeout, creditcard, bikeparking",94104,50 post st level 1,0
1817,2736,333,ly's vietnamese cuisine,,4155631927,,94123,1779 lombard street,ly‰Û¡ÌÝå»s vietnamese cuisine," vietnamese,noodles,desserts",4155631927,"reservations, takeout, creditcard, goodforkids, goodforgroups, hastv, waiterservice, caters",94123,1779 lombard st,1
1856,278,1264,poesia osteria italiana, italian,4152529325," seating, waitstaff, street parking, serves alcohol, full bar, wine and beer, accepts american express, accepts mastercard, accepts visa, accepts discover, reservations",94114,4072 18th st,poesia," italian,bars",4152529325,"reservations, delivery, takeout, creditcard, bikeparking, goodforgroups, outdoorseating, waiterservice, caters",94114,4072 18th st,0
1858,2784,1046,innerfog wine bar," american, wine bar",4156824116,,94122,545 irving st,inner fog, wine bars,4156824116,"creditcard, bikeparking, goodforgroups",94122,545 irving st,1
1891,2848,1455,amawele's south african kitchen,,4157304871,,94105,101 spear st,yank sing," dim sum,cantonese",4157811111,"reservations, takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice, caters",94105,101 spear st,0
1894,2858,1001,gateway croissant,,4157490202,,94102,390 golden gate ave,elephant sushi golden gate," sushi bars,japanese",4153599001,"reservations, takeout, creditcard, bikeparking, outdoorseating, hastv, waiterservice",94102,380 golden gate ave,0
1901,2858,50,gateway croissant,,4157490202,,94102,390 golden gate ave,philz coffee, coffee & tea,4156217000,"takeout, creditcard, applepay, bikeparking, caters",94102,399 golden gate ave,0
1905,2863,1049,dona mayo mexican restaurant,,,,94103,301 s van ness ave,san jalisco, mexican,4156488383,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice, caters",94110,901 s van ness ave,0
1918,2863,1723,dona mayo mexican restaurant,,,,94103,301 s van ness ave,beaux gateaux wedding cakes," bakeries,desserts",4157543043,"delivery, creditcard, bikeparking",94109,2100 van ness ave,0
1949,2876,1309,sf city hall cafe,,4157011061,,94102,401 van ness ave,ruth‰Û¡ÌÝå»s chris steak house," steakhouses,wine bars",4156730557,"reservations, takeout, creditcard, goodforgroups, waiterservice",94109,1601 van ness ave,0
1967,2876,2427,sf city hall cafe,,4157011061,,94102,401 van ness ave,blinks+brows - san francisco," eyelash service,eyebrow services,permanent makeup",4158451898,"creditcard, bikeparking",94109,1901 van ness ave,0
1977,2876,989,sf city hall cafe,,4157011061,,94102,401 van ness ave,walzwerk, german,4155517181,"reservations, takeout, creditcard, bikeparking, goodforgroups, waiterservice",94103,381 s van ness ave,0
1979,288,1404,piperade, spanish,4153912555," reservations, seating, waitstaff, serves alcohol, full bar, private dining",94111,1015 battery st,piperade," spanish,basque",4153912555,"reservations, creditcard, bikeparking, goodforgroups, outdoorseating, waiterservice, caters",94111,1015 battery st,1
1996,29,1449,waterbar," seafood,gluten free options",4152849922," parking available, highchairs available, free wifi, reservations, outdoor seating, private dining, seating, waitstaff, street parking, valet parking, wheelchair accessible, serves alcohol, full bar, accepts american express, accepts mastercard, accepts visa, accepts discover",94105,399 the embarcadero,waterbar," seafood,american (new),live/raw food",4152849922,"reservations, creditcard, bikeparking, goodforgroups, outdoorseating, waiterservice",94105,399 the embarcadero,1
2005,291,1275,monsieur benjamin, french,4154032233," reservations, seating, waitstaff, wheelchair accessible, serves alcohol, full bar",94102,451 gough st,monsieur benjamin," french,wine bars,desserts",4154032233,"reservations, creditcard, bikeparking, goodforgroups, outdoorseating, waiterservice",94102,451 gough st,1
2025,294,1372,parallel 37," contemporary,american",4157736168," seating, waitstaff, parking available, valet parking, wheelchair accessible, serves alcohol, full bar, wine and beer, accepts american express, accepts mastercard, accepts visa, free wifi, accepts discover, reservations, private dining",94108,600 stockton st,the lounge at the ritz-carlton," lounges,american (new)",4152967465,"reservations, creditcard, goodforgroups, hastv, waiterservice, caters",94108,600 stockton st,0
2037,2965,164,cafe murano,,4157710888,,94115,1777 steiner st,cafe murano," coffee & tea,breakfast & brunch,sandwiches",4157710888,"reservations, takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating, waiterservice",94115,1777 steiner st,1
2059,298,1261,mel's drive-in - van ness," american, diner",4152926358," takeout, seating, waitstaff, wheelchair accessible, highchairs available",94109,1050 van ness ave,house of prime rib," american (traditional),steakhouses",4158854605,"reservations, creditcard, goodforkids, goodforgroups, waiterservice",94109,1906 van ness ave,0
2061,298,1365,mel's drive-in - van ness," american, diner",4152926358," takeout, seating, waitstaff, wheelchair accessible, highchairs available",94109,1050 van ness ave,dainese d-store," motorcycle gear,ski & snowboard shops",4156265478,"creditcard, applepay, bikeparking",94103,131 s van ness ave,0
2161,33,2424,harris' steakhouse," american,steakhouse",4156731888," reservations, private dining, seating, waitstaff, valet parking, wheelchair accessible, serves alcohol, full bar",94109,2100 van ness ave,guitar center lessons, musical instruments & teachers,4154090350,creditcard,94109,1645 van ness ave,0
2179,332,339,the pied piper bar & maxfield's," american, bar",4155121111," seating, waitstaff, television, wheelchair accessible, serves alcohol, full bar",94105,2 new montgomery st,the sentinel, sandwiches,4152849960,"takeout, creditcard, bikeparking, caters",94105,37 new montgomery st,0
2193,34,1352,perbacco," italian,gluten free options",4159550663," reservations, private dining, seating, waitstaff, valet parking, wheelchair accessible, serves alcohol, full bar",94111,230 california st,perbacco, italian,4159550663,"reservations, creditcard, goodforgroups, waiterservice",94111,230 california st,1
2196,348,1582,sam's grill," american,seafood",4154210594," reservations, private dining, seating, waitstaff, wheelchair accessible, serves alcohol, full bar",94104,374 bush st,sam‰Û¡ÌÝå»s grill &amp; seafood restaurant, seafood,4154210594,"reservations, creditcard, bikeparking, goodforgroups, waiterservice",94104,374 bush st,1
2202,354,1037,the monk's kettle," american, bar,pub",4158659523," seating, waitstaff, serves alcohol, full bar",94103,3141 16th st,the monk‰Û¡ÌÝåÁÌÎÌÌ´åÈs kettle," bars,gastropubs",4158659523,"takeout, creditcard, bikeparking, outdoorseating, hastv, waiterservice",94103,3141 16th st,1
2211,372,1399,forbes island," french,american,cajun & creole,seafood",4159514900," reservations, seating, waitstaff, serves alcohol, full bar, private dining, validated parking",94133,between pier 39 and 41,forbes island," american (new),seafood,wine bars",4159514900,"reservations, creditcard, goodforgroups, outdoorseating, waiterservice",94133,pier 41,1
2217,381,1344,fringale, french,4155430573," reservations, seating, waitstaff, serves alcohol, full bar, wheelchair accessible",94107,570 4th st,fringale," french,basque",4155430573,"reservations, takeout, creditcard, bikeparking, waiterservice",94107,570 4th st,1
2221,385,2016,trace," american,gluten free options",4158177836," reservations, seating, waitstaff, wheelchair accessible, serves alcohol, full bar, parking available, valet parking",94103,181 3rd st,bliss spa," day spas,massage,skin care",4158174100,"creditcard, bikeparking",94103,"181 3rd st, 4th fl",0
2279,449,1913,whole foods market," american,vegetarian friendly,vegan options",4156180066," takeout, seating, wheelchair accessible, buffet",94107,399 4th st,whole foods market potrero," grocery,health markets,organic stores",4155521155,"takeout, creditcard, applepay, bikeparking, caters",94107,450 rhode island,0
2289,454,1716,intercontinental san francisco,,4156166500," reservations, waitstaff, wheelchair accessible, serves alcohol",94103,888 howard st,intercontinental san francisco," hotels,venues & event spaces",4156166500,creditcard,94103,888 howard street,1
2290,454,1949,intercontinental san francisco,,4156166500," reservations, waitstaff, wheelchair accessible, serves alcohol",94103,888 howard st,the i spa," day spas,massage,nail salons",4152996309,"creditcard, bikeparking",94103,"888 howard st, fl 6",0
2293,459,2663,the old clam house," american,seafood,soups",4158264880," reservations, seating, waitstaff, wheelchair accessible, serves alcohol, full bar, television",94124,299 bay shore blvd,bayshore smoke shop, tobacco shops,4156481560,creditcard,94124,500 bay shore blvd,0
2301,468,1029,helmand palace," afghani,middle eastern,vegetarian friendly",4153620641," reservations, seating, waitstaff, serves alcohol, delivery, takeout",94109,2424 van ness ave,limÌÎÌ__n rotisserie," latin american,peruvian,tapas/small plates",4158212134,"reservations, takeout, creditcard, bikeparking, goodforgroups, hastv, waiterservice, caters",94110,1001 s van ness ave,0
2306,468,1261,helmand palace," afghani,middle eastern,vegetarian friendly",4153620641," reservations, seating, waitstaff, serves alcohol, delivery, takeout",94109,2424 van ness ave,house of prime rib," american (traditional),steakhouses",4158854605,"reservations, creditcard, goodforkids, goodforgroups, waiterservice",94109,1906 van ness ave,0
2330,468,585,helmand palace," afghani,middle eastern,vegetarian friendly",4153620641," reservations, seating, waitstaff, serves alcohol, delivery, takeout",94109,2424 van ness ave,whiz burgers drive-in, burgers,4158245888,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating",94110,700 s van ness ave,0
2331,468,637,helmand palace," afghani,middle eastern,vegetarian friendly",4153620641," reservations, seating, waitstaff, serves alcohol, delivery, takeout",94109,2424 van ness ave,my corner cafe, american (traditional),4155502382,"takeout, creditcard, bikeparking, goodforkids, goodforgroups",94110,1500 s van ness ave,0
2347,489,849,901 columbus cafe," cafe,american",4154099001," seating, serves alcohol, takeout, outdoor seating, wheelchair accessible",94133,901 columbus ave,901 columbus cafe," coffee & tea,mediterranean",4154099001,"takeout, bikeparking, goodforkids, goodforgroups, outdoorseating, hastv",94133,901 columbus ave,1
2364,502,1442,village pizzeria," italian,pizza",4156737771," reservations, seating, television, serves alcohol, wine and beer, accepts american express, accepts mastercard, accepts visa, free wifi, accepts discover, delivery, takeout, waitstaff, wheelchair accessible",94109,1243 van ness ave,davies symphony hall," performing arts,music venues,venues & event spaces",4156216600,"creditcard, bikeparking, goodforkids, goodforgroups",94102,201 van ness ave,0
2373,502,1796,village pizzeria," italian,pizza",4156737771," reservations, seating, television, serves alcohol, wine and beer, accepts american express, accepts mastercard, accepts visa, free wifi, accepts discover, delivery, takeout, waitstaff, wheelchair accessible",94109,1243 van ness ave,cafÌÎÌ_Ì´å© at the opera," cafes,american (traditional),sandwiches",4158618150,"reservations, creditcard, goodforgroups, waiterservice, caters",94102,301 van ness ave,0
2375,502,2249,village pizzeria," italian,pizza",4156737771," reservations, seating, television, serves alcohol, wine and beer, accepts american express, accepts mastercard, accepts visa, free wifi, accepts discover, delivery, takeout, waitstaff, wheelchair accessible",94109,1243 van ness ave,hinata," sushi bars,japanese",4158298291,"reservations, creditcard, waiterservice",94109,810 van ness ave,0
2382,502,492,village pizzeria," italian,pizza",4156737771," reservations, seating, television, serves alcohol, wine and beer, accepts american express, accepts mastercard, accepts visa, free wifi, accepts discover, delivery, takeout, waitstaff, wheelchair accessible",94109,1243 van ness ave,the little spot cafe," coffee & tea,bagels,sandwiches",4155501800,"takeout, creditcard, bikeparking, goodforkids, outdoorseating, waiterservice",94110,1199 s van ness ave,0
2384,502,585,village pizzeria," italian,pizza",4156737771," reservations, seating, television, serves alcohol, wine and beer, accepts american express, accepts mastercard, accepts visa, free wifi, accepts discover, delivery, takeout, waitstaff, wheelchair accessible",94109,1243 van ness ave,whiz burgers drive-in, burgers,4158245888,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating",94110,700 s van ness ave,0
2386,502,754,village pizzeria," italian,pizza",4156737771," reservations, seating, television, serves alcohol, wine and beer, accepts american express, accepts mastercard, accepts visa, free wifi, accepts discover, delivery, takeout, waitstaff, wheelchair accessible",94109,1243 van ness ave,kenny‰Û¡ÌÝåÁÌÎÌÌ´åÈs restaurant," diners,salad,breakfast & brunch",4156218902,"takeout, goodforkids, goodforgroups, hastv, waiterservice",94110,518 s van ness ave,0
2398,518,967,lavash," middle eastern,persian",4156645555," reservations, seating, waitstaff, serves alcohol, takeout, wheelchair accessible",94122,511 irving st,lavash, persian/iranian,4156645555,"reservations, takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice, caters",94122,511 irving st,1
2464,585,1721,the oak room - the westin st. francis, american,4157740264," reservations, seating, waitstaff, parking available, valet parking, wheelchair accessible, serves alcohol",94102,335 powell st,the oak room restaurant, american (new),4157740264,"reservations, creditcard, goodforgroups, waiterservice",94102,335 powell st,1
2465,585,1929,the oak room - the westin st. francis, american,4157740264," reservations, seating, waitstaff, parking available, valet parking, wheelchair accessible, serves alcohol",94102,335 powell st,the westin st. francis san francisco on union square, hotels,4157740124,creditcard,94102,335 powell st,0
2507,64,287,golden boy pizza," italian,pizza,fast food",4159829738," takeout, seating, television, serves alcohol",94133,542 green st,golden boy pizza," pizza,italian",4159829738,"takeout, bikeparking, goodforkids, hastv, caters",94133,542 green st,1
2519,654,517,mela tandoori kitchen," indian,vegetarian friendly",4154474041," takeout, reservations, seating, waitstaff, serves alcohol, wheelchair accessible",94102,536 golden gate ave,le petitt‰Û¡ÌÝåÁÌÎÌÌ´åÈs kitchen, sandwiches,4153559404,"takeout, creditcard, goodforkids, caters",94102,265 golden gate ave,0
2555,708,905,san francisco fish company," american,seafood",4153991111," takeout, wheelchair accessible",94111,1 ferry building ste 31,san francisco herb company," grocery,health markets",4158617174,"creditcard, bikeparking",94103,250 14th st,0
2559,712,792,loving hut," asian,vietnamese,fast food,vegan options",4159753888," takeout, seating, wheelchair accessible",94103,"845 market st ste 12,at westfield ",united vip lounge, lounges,,"creditcard, goodforgroups, hastv",94103,845 market st,0
2575,719,1095,peter d's," american, diner",4157718505," seating, waitstaff, wheelchair accessible",94109,2201 van ness ave,corridor cafe," coffee & tea,sandwiches,breakfast & brunch",4154004979,"takeout, creditcard, applepay, bikeparking, goodforkids, outdoorseating, caters",94102,100 van ness ave,0
2596,719,2424,peter d's," american, diner",4157718505," seating, waitstaff, wheelchair accessible",94109,2201 van ness ave,guitar center lessons, musical instruments & teachers,4154090350,creditcard,94109,1645 van ness ave,0
2604,719,754,peter d's," american, diner",4157718505," seating, waitstaff, wheelchair accessible",94109,2201 van ness ave,kenny‰Û¡ÌÝåÁÌÎÌÌ´åÈs restaurant," diners,salad,breakfast & brunch",4156218902,"takeout, goodforkids, goodforgroups, hastv, waiterservice",94110,518 s van ness ave,0
2625,733,1962,trou normand, american,," reservations, seating, waitstaff, serves alcohol, wheelchair accessible",94105,140 new montgomery st,palace hotel, hotels,4155121111,creditcard,94105,2 new montgomery st,0
2652,771,1917,americano restaurant and bar," american,italian,pizza",4152783777," reservations, seating, waitstaff, outdoor seating, valet parking, wheelchair accessible, serves alcohol, full bar",94105,8 mission st,spa vitale, day spas,4155302572,"creditcard, bikeparking",94105,8 mission st,0
2654,773,2293,mkt restaurant, american,4156333000," reservations, seating, waitstaff, wheelchair accessible, serves alcohol, full bar",94103,four seasons hotel - 765 market st,four seasons hotel san francisco, hotels,4156333000,creditcard,94103,757 market st,0
2709,854,1198,urban putt," american, bar,pub",4153411080," reservations, seating, waitstaff, serves alcohol",94110,1096 s van ness ave,helmand palace," afghan,salad,soup",4153450072,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice, caters",94109,2424 van ness ave,0
2721,854,1756,urban putt," american, bar,pub",4153411080," reservations, seating, waitstaff, serves alcohol",94110,1096 s van ness ave,"edward p miranda, md facs"," cosmetic surgeons,medical spas",4153799015,"creditcard, bikeparking",94102,77 van ness ave,0
2723,854,178,urban putt," american, bar,pub",4153411080," reservations, seating, waitstaff, serves alcohol",94110,1096 s van ness ave,bender‰Û¡ÌÝåÁÌÎÌÌ´åÈs bar and grill," dive bars,american (traditional)",4158241800,"reservations, bikeparking, goodforgroups, outdoorseating, hastv",94110,806 s van ness ave,0
2744,86,1536,franciscan crab restaurant," american,seafood,soups",4153627733," takeout, reservations, outdoor seating, seating, waitstaff, highchairs available, wheelchair accessible, serves alcohol, full bar",94133,"pier 43 1/2 fisherman's whalf,fishermans wharf",franciscan crab restaurant, seafood,4153627733,"reservations, takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating, waiterservice",94133,pier 43 1/2,1
2750,867,1832,bin 480 bar & bistro in marriott on union square," american, bar",," seating, waitstaff, reservations, wheelchair accessible, serves alcohol",94108,480 sutter st,san francisco marriott union square, hotels,4153988900,creditcard,94108,480 sutter street,0
2757,877,1049,sanjalisco restaurant," mexican,latin,spanish",4156488383," takeout, seating, waitstaff, serves alcohol",94110,901 s van ness ave,san jalisco, mexican,4156488383,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice, caters",94110,901 s van ness ave,1
2760,877,1208,sanjalisco restaurant," mexican,latin,spanish",4156488383," takeout, seating, waitstaff, serves alcohol",94110,901 s van ness ave,ho‰Û¡ÌÝåÁÌÎÌÌ´åÈs bootleg tavern," american (new),sports bars",4158727773,"reservations, takeout, creditcard, bikeparking, goodforgroups, hastv, waiterservice",94109,2360 van ness ave,0
2779,877,2424,sanjalisco restaurant," mexican,latin,spanish",4156488383," takeout, seating, waitstaff, serves alcohol",94110,901 s van ness ave,guitar center lessons, musical instruments & teachers,4154090350,creditcard,94109,1645 van ness ave,0
2782,877,386,sanjalisco restaurant," mexican,latin,spanish",4156488383," takeout, seating, waitstaff, serves alcohol",94110,901 s van ness ave,phone booth, dive bars,4156484683,"goodforgroups, hastv",94110,1398 s van ness ave,0
2793,879,1133,mission street oyster bar & seafood restaurant," american,seafood",," reservations, seating, waitstaff, wheelchair accessible, takeout",94110,2282 mission st,mission street oyster bar," seafood,fish & chips",4156216987,"reservations, takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice, caters",94110,2282 mission st,1
2800,891,1129,wesburger ‰Û¡ÌÝåÁÌÎÌÌÎÌÁn‰Û¡ÌÝåÁÌÎÌÌ´åÈ more, american,4157459371,,94110,2240 mission st,wesburger ‰Û¡ÌÝåÁÌÎÌÌÎÌÁn‰Û¡ÌÝåÁÌÎÌÌ´åÈ more," burgers,american (traditional)",4157459371,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, caters",94110,2240 mission st,1
2802,895,2309,the lounge, american,4152967465," seating, reservations, wheelchair accessible",94108,"600 stockton st,the ritz-carlton","the ritz-carlton, san francisco"," hotels,venues & event spaces",4152967465,creditcard,94108,600 stockton st,0
2846,956,1509,brick and beam - hyatt at fishermans wharf," american, bar,pub",4155631234," television, wheelchair accessible, serves alcohol, takeout, reservations, seating, waitstaff",94133,555 n point st,waxman‰Û¡ÌÝåÁÌÎÌÌ´åÈs restaurant," american (new),italian,bars",4156369700,"reservations, takeout, creditcard, goodforkids, goodforgroups, outdoorseating, hastv, waiterservice, caters",94109,900 n point st,0
2874,963,17,walzwerk," german,european, central european",4155517181," reservations, seating, waitstaff, serves alcohol",94103,381 s van ness ave,philz coffee, coffee & tea,4152927660,"takeout, creditcard, applepay, bikeparking",94102,748 van ness ave,0
2875,963,1717,walzwerk," german,european, central european",4155517181," reservations, seating, waitstaff, serves alcohol",94103,381 s van ness ave,"alyson mititieri, le"," medical spas,hair removal,skin care",4153799015,"creditcard, bikeparking",94102,77 van ness ave,0
2882,963,2249,walzwerk," german,european, central european",4155517181," reservations, seating, waitstaff, serves alcohol",94103,381 s van ness ave,hinata," sushi bars,japanese",4158298291,"reservations, creditcard, waiterservice",94109,810 van ness ave,0
2897,963,998,walzwerk," german,european, central european",4155517181," reservations, seating, waitstaff, serves alcohol",94103,381 s van ness ave,august 1 five," indian,cocktail bars,salad",4157715900,"reservations, takeout, creditcard, goodforkids, goodforgroups, waiterservice, caters",94102,524 van ness ave,0
2903,968,1124,pork store cafe," american,cafe",4156265523," takeout, seating, waitstaff, television, serves alcohol",94103,3122 16th st,pork store cafe," breakfast & brunch,coffee & tea",4158646981,"takeout, creditcard, bikeparking, goodforkids, waiterservice",94117,1451 haight st,0
7,1007,968,tara indian cuisine, indian,4158616655," takeout, seating, waitstaff",94114,2217 market st,tara indian cuisine, indian,4158616655,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, hastv, waiterservice",94114,2217 market st,1
9,1008,1224,the market," sushi,vegan options",," takeout, wheelchair accessible",94103,1355 market st,azalina‰Û¡ÌÝå»s," malaysian,chicken shop,soup",4156602020,"delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating, hastv, caters",94103,1355 market st,0
12,1013,1019,martuni's bar," international,pub",4152410205," seating, serves alcohol, waitstaff, wheelchair accessible",,"4 valencia street,at corner of market street",martuni‰Û¡ÌÝå»s," lounges,karaoke",4152410205,"creditcard, goodforgroups",94103,4 valencia st,1
24,1020,1208,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness ave,ho‰Û¡ÌÝå»s bootleg tavern," american (new),sports bars",4158727773,"reservations, takeout, creditcard, bikeparking, goodforgroups, hastv, waiterservice",94109,2360 van ness ave,0
35,1020,1756,dim sum club," chinese,asian",4155292615," takeout, seating, waitstaff",94109,2250 van ness ave,"edward p miranda, md facs"," cosmetic surgeons,medical spas",4153799015,"creditcard, bikeparking",94102,77 van ness ave,0
57,1026,899,taqueria el sol," mexican,latin,spanish",4154410405," takeout, seating",94102,595 geary st,el sol taqueria, mexican,4154410405,"takeout, creditcard, bikeparking, goodforkids",94102,595 geary st,1
77,1028,1796,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness ave,cafÌÎå© at the opera," cafes,american (traditional),sandwiches",4158618150,"reservations, creditcard, goodforgroups, waiterservice, caters",94102,301 van ness ave,0
91,1028,887,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness ave,counter offer," american (traditional),pubs",4158241800,"takeout, creditcard, bikeparking, goodforgroups, outdoorseating, hastv",94110,800 s van ness ave,0
93,1028,989,kyoto sushi," japanese,sushi,asian",4153511234," takeout, seating, waitstaff",94109,1233 van ness ave,walzwerk, german,4155517181,"reservations, takeout, creditcard, bikeparking, goodforgroups, waiterservice",94103,381 s van ness ave,0
109,1041,1717,wayo sushi restaurant," sushi,asian,japanese",4154748369, seating,94109,1407 van ness ave,"alyson mititieri, le"," medical spas,hair removal,skin care",4153799015,"creditcard, bikeparking",94102,77 van ness ave,0
111,1041,1756,wayo sushi restaurant," sushi,asian,japanese",4154748369, seating,94109,1407 van ness ave,"edward p miranda, md facs"," cosmetic surgeons,medical spas",4153799015,"creditcard, bikeparking",94102,77 van ness ave,0
113,1041,178,wayo sushi restaurant," sushi,asian,japanese",4154748369, seating,94109,1407 van ness ave,bender‰Û¡ÌÝå»s bar and grill," dive bars,american (traditional)",4158241800,"reservations, bikeparking, goodforgroups, outdoorseating, hastv",94110,806 s van ness ave,0
143,1054,708,golden gate meat company, american,, takeout,94111,1 ferry building,golden gate meat company," meat shops,delis",4159837800,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating",94111,1 ferry bldg,1
154,1073,298,atlas cafe," american,cafe,pizza",4156481047," takeout, outdoor seating, seating, wheelchair accessible",94132,3049 20th ave,atlas cafe," sandwiches,breakfast & brunch,cafes",4156481047,"takeout, creditcard, bikeparking, goodforkids, goodforgroups, outdoorseating",94110,3049 20th st,1
162,1085,1198,alborz," middle eastern,persian",4154404321," seating, waitstaff, serves alcohol, takeout, reservations",94109,1245 van ness ave,helmand palace," afghan,salad,soup",4153450072,"reservations, delivery, takeout, creditcard, bikeparking, goodforkids, goodforgroups, waiterservice, caters",94109,2424 van ness ave,0
198,109,1476,north beach restaurant, italian,4153921700," reservations, private dining, seating, waitstaff, valet parking, wheelchair accessible, serves alcohol, full bar",94133,1512 stockton st,north beach restaurant, italian,4158892947,"reservations, takeout, creditcard, bikeparking, goodforgroups, outdoorseating, waiterservice",94133,1512 stockton st,1
215,113,2258,campton place restaurant," indian,gluten free options",4159555555," reservations, seating, waitstaff, valet parking, wheelchair accessible, serves alcohol, full bar",94108,340 stockton st,campton place restaurant," american (new),indian,bars",4157815555,"reservations, creditcard, goodforgroups, waiterservice",94108,340 stockton st,1
232,115,2158,mccormick & kuleto's," american,seafood,soups,gluten free options",4159291730," reservations, private dining, seating, waitstaff, wheelchair accessible, serves alcohol, full bar",94109,900 n point st,hyatt centric fisherman‰Û¡ÌÝå»s wharf san francisco, hotels,4155631234,creditcard,94133,555 n point st,0
242,1159,116,box kitchen," bar,pub",4155807170, wheelchair accessible,94103,431 natoma st,box kitchen," food stands,burgers",4155807170,"takeout, creditcard, bikeparking, goodforgroups",94103,431 natoma st,1
263,1192,1095,wasabi & ginger," japanese,sushi,asian",4153451368," takeout, seating, waitstaff",94109,2299 van ness ave,corridor cafe," coffee & tea,sandwiches,breakfast & brunch",4154004979,"takeout, creditcard, applepay, bikeparking, goodforkids, outdoorseating, caters",94102,100 van ness ave,0
276,1192,1756,wasabi & ginger," japanese,sushi,asian",4153451368," takeout, seating, waitstaff",94109,2299 van ness ave,"edward p miranda, md facs"," cosmetic surgeons,medical spas",4153799015,"creditcard, bikeparking",94102,77 van ness ave,0
277,1192,1779,wasabi & ginger," japanese,sushi,asian",4153451368," takeout, seating, waitstaff",94109,2299 van ness ave,pacific plastic surgery group," cosmetic surgeons,skin care",4153799015,"creditcard, bikeparking",94102,77 van ness ave,0
281,1192,2249,wasabi & ginger," japanese,sushi,asian",4153451368," takeout, seating, waitstaff",94109,2299 van ness ave,hinata," sushi bars,japanese",4158298291,"reservations, creditcard, waiterservice",94109,810 van ness ave,0
282,1192,2252,wasabi & ginger," japanese,sushi,asian",4153451368," takeout, seating, waitstaff",94109,2299 van ness ave,harris‰Û¡ÌÝå» restaurant, steakhouses,4156731888,"reservations, creditcard, goodforgroups, waiterservice",94109,2100 van ness ave,0
293,1192,887,wasabi & ginger," japanese,sushi,asian",4153451368," takeout, seating, waitstaff",94109,2299 van ness ave,counter offer," american (traditional),pubs",4158241800,"takeout, creditcard, bikeparking, goodforgroups, outdoorseating, hastv",94110,800 s van ness ave,0
