title,phone,tags,price,yelp_rating,food_rating,service_rating,value_rating,atmosphere_rating,feature,street_address,zipcode,zipcode_extension,monday,tuesday,wednesday,thursday,friday,saturday,sunday,webpage
Pho Hoa Vietnamese Restaurant,(415) 673-3163,"Vietnamese, Noodles",$8-$10,4.0,5/5,4.5/5,,4.5/5,"Delivery, Hastv, Wifi, Ambience, Parking",431 Jones street,94102,2014,8:00 AM-4:00 PM,8:00 AM-4:00 PM,8:00 AM-4:00 PM,,8:00 AM-4:00 PM,8:00 AM-4:00 PM,8:00 AM-4:00 PM,https://www.yelp.com/biz/pho-tan-hoa-san-francisco
Genki Crepes,(415) 379-6414,"Asian, Desserts, Creperies",$10-$10,4.0,4.5/5,4.5/5,2.5/5,4.5/5,"Delivery, Goodforkids, Hastv, Wifi, Bikeparking, Takeout",330 Clement street,94118,2316,2:00 PM-10:30 PM,10:30 AM-10:30 PM,10:30 AM-10:30 PM,10:30 AM-10:30 PM,10:30 AM-12:30 AM,10:30 AM-12:30 AM,10:30 AM-10:30 PM,https://www.yelp.com/biz/genki-crepes-and-mini-mart-san-francisco
Muraccis Japanese Curry Amp Grill,(415) 773-1101,"Japanese, Asian, Fast Food, Japanese Curry",$10-$10,4.0,4/5,4/5,2.5/5,4/5,"Takeout, Attire, Delivery, Bikeparking",307 Kearny street,94108,3204,11:00 AM-6:00 PM,11:00 AM-6:00 PM,11:00 AM-6:00 PM,11:00 AM-6:00 PM,11:00 AM-5:00 PM,11:00 AM-4:00 PM,,https://www.yelp.com/biz/muraccis-japanese-curry-and-grill-san-francisco
Hazel's Kitchen,(415) 647-7941,"Delicatessen, Delis, Sandwiches, Caterers",$5-$10,4.0,4.5/5,4/5,3/5,4.5/5,"Goodforkids, Delivery, Wifi, Bikeparking, Takeout",1331 18th street,94107,2822,8:00 AM-4:00 PM,8:00 AM-4:00 PM,8:00 AM-4:00 PM,8:00 AM-4:00 PM,8:00 AM-4:00 PM,9:00 AM-4:00 PM,9:00 AM-4:00 PM,https://www.yelp.com/biz/hazels-kitchen-san-francisco
Jardiniere,(415) 861-5555,"French, American (New), Champagne Bars",$41-$80,4.0,4.5/5,4.5/5,4.5/5,3.5/5,"Serves Alcohol, Waitstaff, Hastv, Ambience, Private Dining, Wheelchair Accessible, Reservations, Valet Parking, Takeout, Attire, Noiselevel, Seating, Free Wifi, Full Bar",300 Grove street,94102,4419,5:00 PM-9:00 PM,5:00 PM-9:00 PM,5:00 PM-9:00 PM,5:00 PM-9:00 PM,5:00 PM-10:30 PM,5:00 PM-10:30 PM,5:00 PM-9:00 PM,https://www.yelp.com/biz/jardiniere-san-francisco-5
Pakwan Restaurant,(415) 776-0160,"Indian, Pakistani, Asian, Middle Eastern, Halal",$10-$10,3.5,4.5/5,3.5/5,4/5,4.5/5,"Alcohol, Delivery, Hastv, Wifi, Bikeparking, Wheelchair Accessible, Takeout, Attire, Seating",501 Ofarrell street,94102,1931,11:00 AM-11:00 AM,11:00 AM-11:00 AM,11:00 AM-11:00 AM,11:00 AM-11:00 AM,11:00 AM-11:30 AM,11:30 AM-11:30 AM,11:30 AM-11:00 AM,https://www.yelp.com/biz/pakwan-restaurant-o-farrell-street-san-francisco
Panchita's 16th,(415) 431-4232,"Mexican, Salvadoran",$10-$10,4.0,4.5/5,4/5,3/5,4.5/5,"Delivery, Hastv, Wifi, Ambience, Bikeparking, Takeout, Attire",3091 16th Street,94103,3420,11:00 AM-12:00 AM,11:00 AM-12:00 AM,11:00 AM-12:00 AM,11:00 AM-12:00 AM,11:00 AM-12:00 AM,11:00 AM-12:00 AM,11:00 AM-12:00 AM,https://www.yelp.com/biz/panchitas-restaurant-no-2-san-francisco
Darbar Restaurant,(415) 359-1236,"Indian, Middle Eastern, Pakistani, Caterers",$10-$20,3.5,4.5/5,4/5,3.5/5,4.5/5,"Alcohol, Waitstaff, Delivery, Goodforkids, Hastv, Wifi, Ambience, Reservations, Takeout, Noiselevel, Seating",1412 Polk street,94109,4616,"11:30 AM-3:00 PM, 5:00 PM-10:00 PM","11:30 AM-3:00 PM, 5:00 PM-10:00 PM","11:30 AM-3:00 PM, 5:00 PM-10:00 PM","11:30 AM-3:00 PM, 5:00 PM-10:00 PM","11:30 AM-3:00 PM, 5:00 PM-10:00 PM","11:30 AM-3:00 PM, 5:00 PM-10:00 PM","11:30 AM-3:00 PM, 5:00 PM-10:00 PM",https://www.yelp.com/biz/darbar-restaurant-san-francisco
Kazan,(415) 282-2001,"Sushi, Japanese, Sushi Bars, Soup",$11-$30,4.0,5/5,5/5,,5/5,"Waitstaff, Delivery, Hastv, Wifi, Ambience, Bikeparking, Takeout, Attire, Noiselevel",2809 24th street,94110,4213,"11:30 AM-2:30 PM, 5:00 PM-10:00 PM","11:30 AM-2:30 PM, 5:00 PM-10:00 PM","11:30 AM-2:30 PM, 5:00 PM-10:00 PM","11:30 AM-2:30 PM, 5:00 PM-10:00 PM","11:30 AM-2:30 PM, 5:00 PM-11:00 PM",12:30 PM-11:00 PM,12:30 PM-9:00 PM,https://www.yelp.com/biz/kazan-san-francisco
The Occidental Cigar Club,,"Bar, Pub, Bars, Tobacco Shops",Moderate,4.5,3/5,4.5/5,4.5/5,4/5,"Takeout, Hastv, Seating, Parking",476 Pine street,94104,2804,12:00 PM-1:00 AM,12:00 PM-1:00 AM,12:00 PM-1:00 AM,12:00 PM-1:00 AM,12:00 PM-1:00 AM,12:00 PM-1:00 AM,12:00 PM-1:00 AM,https://www.yelp.com/biz/the-occidental-cigar-club-san-francisco
In-N-Out Burger,(800) 786-1000,"American, Fast Food, Burgers",$5-$10,4.0,4/5,4/5,3/5,4/5,"Delivery, Highchairs Available, Goodforkids, Wifi, Hastv, Bikeparking, Wheelchair Accessible, Takeout, Seating",333 Jefferson street,94133,1132,10:30 AM-1:00 AM,10:30 AM-1:00 AM,10:30 AM-1:00 AM,10:30 AM-1:00 AM,10:30 AM-1:30 AM,10:30 AM-1:30 AM,10:30 AM-1:00 AM,https://www.yelp.com/biz/in-n-out-burger-san-francisco
Ambrosia Bakery,(415) 334-5305,"American, Bakeries, Sandwiches, Patisserie/Cake Shop",$10-$10,4.0,5/5,5/5,5/5,5/5,"Delivery, Hastv, Wifi, Bikeparking, Takeout, Attire",2605 Ocean avenue,94132,1615,6:00 AM-6:00 PM,6:00 AM-6:00 PM,6:00 AM-6:00 PM,6:00 AM-6:00 PM,6:00 AM-6:00 PM,7:00 AM-6:00 PM,8:00 AM-2:00 PM,https://www.yelp.com/biz/ambrosia-bakery-san-francisco
InoVino,(415) 681-3770,"Italian, Wine Bars",$11-$30,4.5,4/5,3.5/5,,3.5/5,"Delivery, Goodforkids, Hastv, Ambience, Bikeparking, Takeout, Noiselevel",108B Carl street,94117,3925,4:00 PM-11:00 PM,4:00 PM-11:00 PM,4:00 PM-11:00 PM,4:00 PM-11:00 PM,4:00 PM-11:00 PM,3:00 PM-11:00 PM,,https://www.yelp.com/biz/inovino-san-francisco
Castro Tarts,(415) 861-3268,"Asian, Vietnamese, American, Breakfast & Brunch, Sandwiches",$10-$10,4.0,4.5/5,4.5/5,4/5,5/5,"Delivery, Wifi, Bikeparking, Wheelchair Accessible, Takeout, Seating",564 Castro street,94114,2512,7:00 AM-6:00 PM,7:30 AM-6:00 PM,7:30 AM-6:00 PM,7:30 AM-6:00 PM,7:30 AM-6:00 PM,8:00 AM-6:00 PM,8:00 AM-6:00 PM,https://www.yelp.com/biz/castro-tarts-san-francisco
Pho Tan Hoa,(650) 947-1290,"Asian, Vietnamese, Noodles",$10-$10,4.0,4.5/5,4/5,3/5,4.5/5,"Waitstaff, Delivery, Hastv, Wifi, Ambience, Takeout, Parking, Seating",431 Jones street,94102,,9:00 AM-4:00 PM,9:00 AM-4:00 PM,9:00 AM-4:00 PM,9:00 AM-5:00 PM,9:00 AM-4:00 PM,9:00 AM-4:00 PM,9:00 AM-4:00 PM,https://www.yelp.com/biz/pho-tan-hoa-san-francisco
Kitchen Story,(415) 525-4905,"American, Asian, Fusion, Gluten Free Options, Breakfast & Brunch, Asian Fusion, American (New)",$11-$30,4.0,4.5/5,4/5,4/5,4/5,"Serves Alcohol, Waitstaff, Delivery, Highchairs Available, Goodforkids, Alcohol, Wifi, Hastv, Ambience, Bikeparking, Reservations, Takeout, Wheelchair Accessible, Outdoor Seating, Attire, Noiselevel, Seating",3499 16th street,94114,1731,"8:00 AM-3:00 PM, 5:00 PM-10:00 PM","8:00 AM-3:00 PM, 5:00 PM-10:00 PM","8:00 AM-3:00 PM, 5:00 PM-10:00 PM","8:00 AM-3:00 PM, 5:00 PM-10:00 PM","8:00 AM-3:00 PM, 5:00 PM-10:30 PM","8:00 AM-3:00 PM, 5:00 PM-10:30 PM","8:00 AM-3:00 PM, 5:00 PM-10:00 PM",https://www.yelp.com/biz/kitchen-story-san-francisco
Infusion Lounge,(415) 421-8700,"Fusion, Dance Clubs, Bars, Pan Asian",$30-$60,3.0,4/5,4/5,4/5,3.5/5,"Serves Alcohol, Waitstaff, Hastv, Ambience, Reservations, Noiselevel, Takeout",124 Ellis street,94102,2110,,6:00 PM-9:00 PM,9:00 PM-2:00 AM,9:00 PM-2:00 AM,9:00 PM-2:00 AM,9:00 PM-2:00 AM,,http://www.yelp.com/biz/infusion-lounge-san-francisco-3
Boba Guys,(415) 967-2622,"Coffee & Tea, Bubble Tea",Inexpensive,4.0,4.5/5,4.5/5,3/5,4/5,"Delivery, Goodforkids, Bikeparking, Takeout",3491 19th street,94110,1742,12:00 PM-9:00 PM,12:00 PM-9:00 PM,12:00 PM-9:00 PM,12:00 PM-9:00 PM,12:00 PM-10:00 PM,12:00 PM-10:00 PM,12:00 PM-5:00 PM,https://www.yelp.com/biz/boba-guys-san-francisco-4
The Bird,(415) 872-9825,"Fast Food, Chicken Shop, Sandwiches",$8-$12,4.0,3.5/5,4.5/5,,4/5,"Serves Alcohol, Delivery, Wifi, Bikeparking, Reservations, Wine And Beer, Takeout",115 New Montgomery street,94105,,10:30 AM-8:00 PM,10:30 AM-8:00 PM,10:30 AM-8:00 PM,10:30 AM-9:00 PM,10:30 AM-9:00 PM,11:00 AM-4:00 PM,,https://www.yelp.com/biz/the-bird-san-francisco-2
Them Ky,(415) 441-8525,"Chinese, Asian, Vietnamese",$9-$10,3.5,4.5/5,3.5/5,3/5,5/5,"Delivery, Hastv, Wifi, Ambience, Parking",717 Ellis street,94109,7908,,8:00 AM-9:00 PM,8:00 AM-9:00 PM,8:00 AM-9:00 PM,8:00 AM-9:00 PM,8:00 AM-9:00 PM,8:00 AM-9:00 PM,https://www.yelp.com/biz/them-ky-san-francisco
Sing Sing Sandwich Shop,(415) 885-5159,"Sandwiches, Vietnamese",$10-$10,4.0,,,,,"Hastv, Delivery, Wifi, Bikeparking, Parking",309 Hyde street,94109,8015,9:00 AM-4:00 PM,9:00 AM-4:00 PM,9:00 AM-4:00 PM,9:00 AM-4:00 PM,9:00 AM-4:00 PM,9:00 AM-4:00 PM,9:00 AM-4:00 PM,https://www.yelp.com/biz/sing-sing-sandwich-shop-san-francisco
Liquid Gold,(415) 660-5142,"Bar, Pub, Beer Bar",Moderate,4.5,,5/5,,,"Hastv, Takeout, Noiselevel, Parking",1040 Hyde street,94109,4917,3:00 PM-10:00 PM,3:00 PM-10:00 PM,3:00 PM-10:00 PM,3:00 PM-11:00 PM,3:00 PM-12:00 AM,2:00 PM-12:00 AM,2:00 PM-8:00 PM,https://www.yelp.com/biz/liquid-gold-san-francisco
The Sandwich Place,(415) 431-3811,Sandwiches,$10-$10,4.5,,,,,"Delivery, Goodforkids, Wifi, Bikeparking, Takeout, Attire",2029 Mission street,94110,1217,6:30 AM-5:00 PM,6:30 AM-5:00 PM,6:30 AM-5:00 PM,6:30 AM-5:00 PM,6:30 AM-5:00 PM,6:30 AM-2:00 PM,,https://www.yelp.com/biz/the-sandwich-place-san-francisco
A16,(415) 771-2216,"Italian, Pizza, Wine Bar",$31-$60,3.5,4/5,4.5/5,4/5,4/5,"Serves Alcohol, Waitstaff, Hastv, Ambience, Bikeparking, Reservations, Wheelchair Accessible, Takeout, Attire, Noiselevel, Seating, Full Bar",2355 Chestnut street,94123,2609,5:30 PM-10:00 PM,5:30 PM-10:00 PM,"11:30 AM-2:30 PM, 5:30 PM-10:00 PM","11:30 AM-2:30 PM, 5:30 PM-10:00 PM","11:30 AM-2:30 PM, 5:30 PM-11:00 PM","11:30 AM-2:30 PM, 5:00 PM-11:00 PM","11:30 AM-2:30 PM, 5:00 PM-10:00 PM",http://www.yelp.com/biz/a16-san-francisco-4
BEL,(415) 206-1000,"Belgian, Bars, Modern European",$11-$30,4.5,5/5,5/5,,4.5/5,"Delivery, Hastv, Ambience, Bikeparking, Takeout, Noiselevel",3215 Mission street,94110,,,5:00 PM-10:00 PM,5:00 PM-10:00 PM,5:00 PM-10:00 PM,5:00 PM-10:00 PM,5:00 PM-10:00 PM,5:00 PM-10:00 PM,https://www.yelp.com/biz/bel-san-francisco
L'emigrante Wine Bistro,(415) 863-4777,"Eastern European, Wine Bars, Sandwiches, Tapas/Small Plates",$11-$30,4.5,5/5,5/5,,5/5,"Goodforkids, Hastv, Ambience, Bikeparking, Takeout, Attire",2199 Mission street,94110,1219,5:00 PM-11:00 PM,5:00 PM-11:00 PM,5:00 PM-11:00 PM,5:00 PM-11:00 PM,4:00 PM-12:00 AM,4:00 PM-12:00 AM,4:00 PM-11:00 PM,https://www.yelp.com/biz/l-emigrante-wine-bar-and-bistro-san-francisco
Cafe La Flore No 2,(415) 504-6798,"Sandwiches, Cafes, Salad",$10-$10,4.0,5/5,5/5,,5/5,"Delivery, Hastv, Wifi, Creditcard, Bikeparking, Takeout, Parking",1340 Irving street,94122,2014,8:00 AM-6:30 PM,8:00 AM-6:30 PM,7:30 AM-6:30 PM,8:00 AM-6:30 PM,8:00 AM-6:30 PM,7:00 PM-12:00 AM,9:00 AM-6:30 PM,https://www.yelp.com/biz/cafe-la-flore-san-francisco-4
Sasaki,(415) 351-8202,"Sushi, Sushi Bars, Japanese",$5-$61,4.5,5/5,5/5,,4/5,"Reservations, Takeout, Ambience, Noiselevel",2400 Harrison street,94110,,,5:30 PM-11:00 PM,5:30 PM-11:00 PM,5:30 PM-11:00 PM,5:30 PM-11:00 PM,5:30 PM-11:00 PM,,https://www.yelp.com/biz/sasaki-san-francisco-2
Taqueria Guadalajara,(415) 469-5480,Mexican,$10-$10,4.0,5/5,5/5,5/5,5/5,"Delivery, Hastv, Wifi, Bikeparking, Takeout, Parking",4798 Mission street,94112,2745,9:30 AM-2:00 AM,9:30 AM-2:00 AM,9:30 AM-2:00 AM,9:30 AM-2:00 AM,9:30 AM-2:00 AM,9:30 AM-12:00 AM,9:30 AM-2:00 AM,https://www.yelp.com/biz/taqueria-guadalajara-san-francisco
Dinosaurs Vietnamese Sandwiches,(415) 503-1421,"Asian, Vietnamese, Fast Food, Sandwiches",$10-$10,4.0,5/5,4.5/5,3.5/5,5/5,"Goodforkids, Delivery, Wifi, Bikeparking, Takeout, Seating",2275 Market street Ste H,94114,,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-10:00 PM,7:00 AM-10:00 PM,7:00 AM-10:00 PM,https://www.yelp.com/biz/dinosaurs-san-francisco-4
George's Zoo Liquor Deli,(415) 664-3215,"Beer, Wine & Spirits, Sandwiches",$10-$10,4.5,5/5,5/5,5/5,4.5/5,"Delivery, Wifi, Bikeparking, Takeout",2560 Sloat boulevard,94116,2737,7:00 AM-9:00 PM,7:00 AM-9:00 PM,7:00 AM-9:00 PM,9:00 AM-5:00 PM,7:00 AM-9:00 PM,8:00 AM-9:00 PM,8:00 AM-8:00 PM,https://www.yelp.com/biz/georges-zoo-liquor-deli-san-francisco
Ace's,(415) 673-0644,"Bar, Pub, Bars",Inexpensive,4.0,3/5,3.5/5,4/5,3.5/5,"Accepts Visa, Serves Alcohol, Hastv, Accepts Mastercard, Street Parking, Bikeparking, Television, Parking Available, Wheelchair Accessible, Accepts American Express, Takeout, Noiselevel, Free Off-Street Parking, Parking, Seating, Free Wifi, Full Bar",998 Sutter Street,94109,,6:00 AM-2:00 AM,6:00 AM-2:00 AM,6:00 AM-2:00 AM,6:00 AM-2:00 AM,6:00 AM-2:00 AM,6:00 AM-2:00 AM,6:00 AM-2:00 AM,https://www.yelp.com/biz/aces-san-francisco
Flying Pig Bistro Pub,(415) 934-1234,"Pub, Sandwiches, Pubs, Sports Bars",$10-$10,4.0,4.5/5,5/5,4/5,4.5/5,"Delivery, Goodforkids, Hastv, Wifi, Bikeparking, Takeout, Attire, Parking",433 S van Ness avenue,94103,3629,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,https://www.yelp.com/biz/flying-pig-bistro-pub-san-francisco-2
Indigo,(415) 673-9353,"American, Contemporary, American (New)",$21-$60,3.5,4/5,4/5,3.5/5,4/5,"Serves Alcohol, Waitstaff, Hastv, Ambience, Reservations, Takeout, Noiselevel, Seating",687 McAllister street,94102,3111,,5:00 PM-9:30 PM,5:00 PM-9:30 PM,5:00 PM-9:30 PM,5:00 PM-11:00 PM,5:00 PM-11:00 PM,5:00 PM-9:30 PM,http://www.yelp.com/biz/indigo-san-francisco
Whole Foods Market Potrero Hill,(415) 552-1155,"American, Grocery, Health Markets, Organic Stores",$5-$15,3.5,4.5/5,4/5,3.5/5,4/5,"Buffet, Delivery, Creditcard, Bikeparking, Takeout, Attire",450 Rhode Island street,94107,2320,8:00 AM-10:00 PM,8:00 AM-10:00 PM,8:00 AM-10:00 PM,8:00 AM-10:00 PM,8:00 AM-10:00 PM,8:00 AM-10:00 PM,8:00 AM-10:00 PM,http://www.yelp.com/biz/whole-foods-market-potrero-san-francisco
Bourbon and Branch,(415) 346-1735,"Cocktail Bars, Venues & Event Spaces, Speakeasies",$25-$100,4.0,4.5/5,4.5/5,5/5,4/5,"Serves Alcohol, Waitstaff, Hastv, Reservations, Takeout, Noiselevel, Seating, Full Bar",501 Jones street,94102,,6:00 PM-2:00 AM,6:00 PM-2:00 AM,6:00 PM-2:00 AM,6:00 PM-2:00 AM,6:00 PM-2:00 AM,6:00 PM-2:00 AM,6:00 PM-2:00 AM,http://www.yelp.com/biz/bourbon-and-branch-san-francisco
Cafe XO,(415) 826-3535,"Cafe, Coffee & Tea, Sandwiches",$10-$10,3.5,4.5/5,4.5/5,5/5,4.5/5,"Goodforkids, Delivery, Wifi, Bikeparking, Takeout, Parking, Seating",1799 Church street,94131,2450,6:00 AM-6:00 PM,6:00 AM-6:00 PM,6:00 AM-6:00 PM,6:00 AM-6:00 PM,6:00 AM-6:00 PM,7:00 AM-6:00 PM,7:00 AM-6:00 PM,https://www.yelp.com/biz/cafe-xo-san-francisco
Big Mouth Burgers,(415) 821-4821,"American, Burgers",$10-$10,3.5,5/5,4.5/5,4/5,5/5,"Delivery, Goodforkids, Hastv, Wifi, Creditcard, Bikeparking, Takeout, Parking, Seating",3392 24th street,94110,3823,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,11:00 AM-10:00 PM,https://www.yelp.com/biz/big-mouth-burgers-san-francisco
Tacorea,(415) 885-1325,"Mexican, Korean, Latin American",$10-$10,4.5,4.5/5,3.5/5,,4.5/5,"Delivery, Goodforkids, Wifi, Creditcard, Bikeparking, Takeout, Parking",809 Bush street,94108,,"11:30 AM-3:00 PM, 6:00 PM-9:00 PM","11:30 AM-3:00 PM, 6:00 PM-9:00 PM","11:30 AM-3:00 PM, 6:00 PM-9:00 PM","11:30 AM-3:00 PM, 6:00 PM-9:00 PM","11:30 AM-3:00 PM, 6:00 PM-9:00 PM","11:30 AM-3:00 PM, 6:00 PM-9:00 PM",,https://www.yelp.com/biz/tacorea-san-francisco
Luisa's Pizza and Pasta,(415) 563-4043,"Italian, Pizza, Wine Bars",$6-$30,4.0,,,,,"Accepts Visa, Serves Alcohol, Waitstaff, Delivery, Goodforkids, Hastv, Wifi, Accepts Mastercard, Ambience, Bikeparking, Reservations, Takeout, Wheelchair Accessible, Wine And Beer, Noiselevel, Seating",1550 California street,94109,4783,5:00 PM-12:00 AM,4:00 PM-12:00 AM,5:00 PM-12:00 AM,5:00 PM-12:00 AM,5:00 PM-12:00 AM,5:00 PM-12:00 AM,5:00 PM-12:00 AM,https://www.yelp.com/biz/luisas-pizza-and-pasta-san-francisco
Taqueria Castillo B,(415) 431-1092,"Mexican, Spanish",$10-$10,3.5,5/5,4.5/5,4/5,4.5/5,"Delivery, Hastv, Wifi, Parking",86 McAllister street,94102,3814,9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,https://www.yelp.com/biz/taqueria-castillo-b-san-francisco
Guerra Quality Meats,(415) 564-0585,"Steakhouse, Meat Shops, Delis, Grocery",$10-$10,4.5,5/5,4.5/5,3/5,4.5/5,"Delivery, Wifi, Takeout, Attire",490 Taraval street,94116,2530,9:00 AM-7:00 PM,9:00 AM-7:00 PM,9:00 AM-7:00 PM,9:00 AM-7:00 PM,9:00 AM-7:00 PM,9:00 AM-6:00 PM,9:00 AM-6:00 PM,https://www.yelp.com/biz/guerra-quality-meats-san-francisco
Octavia,(415) 408-7507,"American, Gluten Free Options, American (New)",$31-$60,4.0,5/5,4.5/5,,4.5/5,"Serves Alcohol, Waitstaff, Ambience, Bikeparking, Reservations, Wheelchair Accessible, Takeout, Noiselevel, Seating",1701 Octavia street,94109,4326,5:00 PM-10:00 PM,5:00 PM-10:00 PM,5:00 PM-10:00 PM,5:00 PM-10:00 PM,5:00 PM-10:30 PM,5:00 PM-10:30 PM,5:00 PM-10:00 PM,http://www.yelp.com/biz/octavia-san-francisco
Spruce,(415) 931-5100,"American, Gluten Free Options, American (Traditional)",$41-$80,4.0,4.5/5,4.5/5,4.5/5,3.5/5,"Serves Alcohol, Waitstaff, Delivery, Hastv, Ambience, Private Dining, Reservations, Wheelchair Accessible, Valet Parking, Takeout, Attire, Noiselevel, Seating, Full Bar",3640 Sacramento street,94118,1710,"11:30 AM-2:00 PM, 5:00 PM-10:00 PM","11:30 AM-2:00 PM, 5:00 PM-10:00 PM","11:30 AM-2:00 PM, 5:00 PM-10:00 PM","11:30 AM-2:00 PM, 5:00 PM-10:00 PM","11:30 AM-2:00 PM, 5:00 PM-11:00 PM",5:00 PM-11:00 PM,"10:00 AM-2:00 PM, 5:00 PM-9:00 PM",https://www.yelp.com/biz/spruce-san-francisco
Prubechu,(415) 952-3654,"Asian Fusion, Seafood",$31-$60,4.5,5/5,5/5,5/5,4/5,"Waitstaff, Delivery, Hastv, Wifi, Ambience, Bikeparking, Reservations, Takeout, Noiselevel",2847 Mission street,94110,3907,,5:00 PM-10:00 PM,5:00 PM-10:00 PM,5:00 PM-10:00 PM,5:00 PM-10:00 PM,5:00 PM-10:00 PM,,http://www.yelp.com/biz/prubechu-san-francisco
The Salad Place,,"American, American (Traditional), Sandwiches, Salad",$10-$10,4.5,5/5,5/5,4/5,4/5,"Delivery, Hastv, Wifi, Ambience, Bikeparking, Takeout, Attire, Noiselevel",400 London street,94112,,6:30 AM-4:00 PM,6:30 AM-4:00 PM,6:30 AM-4:00 PM,6:30 AM-4:00 PM,6:30 AM-4:00 PM,8:00 AM-4:00 PM,,https://www.yelp.com/biz/the-salad-place-san-francisco-4
Choice Yakiniku,(415) 206-9755,Japanese,$10-$10,4.0,4.5/5,4.5/5,4/5,4.5/5,"Delivery, Hastv, Wifi, Ambience, Bikeparking, Takeout",Diamond Heights Shopping Ctr 5214-A Diamond Heights boulevard,,,9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,,https://www.yelp.com/biz/choice-yakiniku-san-francisco
BIX,(415) 433-6300,"American, Soups, Contemporary, American (Traditional), Bars, Music Venues",$31-$80,4.0,4.5/5,4.5/5,4.5/5,3.5/5,"Serves Alcohol, Waitstaff, Hastv, Ambience, Bikeparking, Reservations, Wheelchair Accessible, Valet Parking, Takeout, Noiselevel, Seating, Full Bar",56 Gold street,94133,5103,4:30 PM-10:00 PM,4:30 PM-10:00 PM,4:30 PM-10:00 PM,4:30 PM-11:00 PM,11:30 AM-12:00 AM,5:30 PM-12:00 AM,5:30 PM-10:00 PM,http://www.yelp.com/biz/bix-san-francisco
Cafe Seventy8,,"American, Coffee & Tea",Inexpensive,4.5,5/5,5/5,5/5,5/5,"Delivery, Goodforkids, Bikeparking, Takeout",78 29th street Bernal Heights,94110,,6:00 AM-7:00 PM,6:00 AM-7:00 PM,6:00 AM-7:00 PM,6:00 AM-7:00 PM,6:00 AM-7:00 PM,7:00 AM-7:00 PM,7:00 AM-7:00 PM,https://www.yelp.com/biz/cafe-seventy8-san-francisco
Tyger's,(415) 239-4060,"Diner, Diners, Breakfast & Brunch",$10-$10,3.5,4/5,4.5/5,3.5/5,4.5/5,"Waitstaff, Hastv, Delivery, Wifi, Ambience, Bikeparking",2798 Diamond street,94131,3057,7:00 AM-3:30 PM,7:00 AM-3:30 PM,7:00 AM-3:30 PM,7:00 AM-3:30 PM,7:00 AM-3:30 PM,7:00 AM-3:30 PM,7:00 AM-3:30 PM,https://www.yelp.com/biz/tygers-san-francisco
Caffe Ambrosia,(415) 362-0538,"American, Cafe, Healthy, Ice Cream & Frozen Yogurt, Coffee & Tea, Juice Bars & Smoothies",$5-$10,4.5,,,,,"Goodforkids, Delivery, Outdoor Seating, Bikeparking",14 Trinity Pl,94104,4103,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,https://www.yelp.com/biz/caffe-ambrosia-san-francisco
Zaytoon Mediterranean Wraps,(415) 824-1787,"Mediterranean, Sandwiches",$10-$10,4.0,4.5/5,3.5/5,,4.5/5,"Delivery, Goodforkids, Wifi, Creditcard, Bikeparking, Takeout, Attire, Parking",1136 Valencia street,94110,3027,11:30 AM-9:00 PM,11:30 AM-9:00 PM,11:30 AM-9:00 PM,11:30 AM-9:00 PM,11:30 AM-9:00 PM,11:30 AM-9:00 PM,11:30 AM-9:00 PM,https://www.yelp.com/biz/zaytoon-mediterranean-wraps-san-francisco
Big Chef Tom's Belly Burgers,(415) 513-1331,Burgers,$11-$30,4.0,4.5/5,5/5,3.5/5,4.5/5,"Alcohol, Delivery, Hastv, Wifi, Creditcard, Bikeparking, Takeout, Attire, Parking",1550 Howard street,94103,2528,10:30 AM-9:00 PM,10:30 AM-9:00 PM,10:30 AM-9:00 PM,10:30 AM-9:00 PM,10:30 AM-9:00 PM,12:00 PM-9:00 PM,11:30 AM-8:00 PM,https://www.yelp.com/biz/big-chef-toms-belly-burgers-san-francisco
Nomica,(415) 655-3280,"Japanese, Cocktail Bars, Wine Bars",$31-$60,4.0,4/5,5/5,,4/5,"Hastv, Ambience, Takeout, Attire, Noiselevel",2223 Market street,94114,,5:30 PM-11:00 PM,5:30 PM-11:00 PM,5:30 PM-11:00 PM,5:30 PM-11:00 PM,5:30 PM-11:00 PM,5:30 PM-11:00 PM,,http://www.yelp.com/biz/nomica-san-francisco
